# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
8.000000000000000000e+00,2.209213600000000111e-01,2.918491200000000174e-01,1.043092499999999978e+00,7.347339599999999393e+01,3.916916500000000023e-01,3.075486000000000053e-01,5.523030000000000300e-02,7.296229999999999383e-02
9.000000000000000000e+00,2.648456299999999985e-01,4.289304800000000029e-01,1.066065299999999993e+00,6.972311399999999537e+01,7.328304900000000011e-01,6.486874400000000040e-01,6.621140000000000359e-02,1.072325999999999974e-01
1.000000000000000000e+01,3.235450699999999902e-01,5.791247499999999659e-01,1.100093200000000104e+00,6.536943200000000331e+01,1.337992499999999918e+00,1.253849500000000061e+00,8.088629999999999431e-02,1.447811999999999988e-01
1.100000000000000000e+01,3.860768299999999820e-01,7.138364000000000376e-01,1.140032099999999993e+00,6.130264199999999875e+01,2.160660200000000142e+00,2.076517200000000063e+00,9.651919999999999944e-02,1.784591000000000094e-01
1.200000000000000000e+01,4.487135500000000166e-01,8.321418699999999502e-01,1.184167500000000040e+00,5.761574399999999940e+01,3.173770100000000038e+00,3.089627099999999960e+00,1.121783999999999976e-01,2.080355000000000121e-01
1.300000000000000000e+01,5.090393899999999805e-01,9.352431799999999518e-01,1.231456399999999896e+00,5.429637799999999714e+01,4.349063000000000123e+00,4.264919899999999764e+00,1.272598000000000062e-01,2.338108000000000131e-01
1.400000000000000000e+01,5.652308400000000121e-01,1.024277000000000104e+00,1.281118299999999932e+00,5.131261400000000350e+01,5.657334200000000202e+00,5.573191200000000123e+00,1.413077000000000083e-01,2.560691999999999968e-01
1.500000000000000000e+01,6.158638699999999799e-01,1.100087599999999943e+00,1.332501699999999900e+00,4.863094000000000250e+01,7.069390799999999864e+00,6.985247700000000393e+00,1.539659999999999918e-01,2.750218999999999858e-01
1.600000000000000000e+01,6.598532900000000367e-01,1.163285899999999984e+00,1.385030500000000053e+00,4.622032699999999750e+01,8.556949400000000594e+00,8.472806300000000235e+00,1.649633000000000072e-01,2.908215000000000106e-01
