# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
1.000000000000000000e+00,0.000000000000000000e+00,2.501559999999999895e-01,9.686000000000000165e-04,2.511249999999999871e-01,0.000000000000000000e+00,6.662498999999999505e-01,1.087499999999999925e-03,1.087499999999999925e-03,1.063974799999999998e+00,1.399140300000000003e+00,4.895300000000000207e-01,-5.647299999999999542e-01
2.000000000000000000e+00,7.655999999999999611e-03,2.501749999999999807e-01,9.770000000000000039e-04,2.511517999999999806e-01,4.983300000000000403e-03,6.613847999999999949e-01,1.115399999999999898e-03,6.098700000000000301e-03,1.074938399999999961e+00,1.437199300000000068e+00,4.830300000000000149e-01,-5.767799999999999594e-01
3.000000000000000000e+00,1.531700000000000075e-02,2.502329999999999832e-01,9.856999999999999443e-04,2.512184000000000084e-01,1.013060000000000002e-02,6.702496999999999483e-01,1.164499999999999954e-03,1.129510000000000063e-02,1.085988600000000082e+00,1.443770900000000079e+00,4.765300000000000091e-01,-5.762000000000000455e-01
4.000000000000000000e+00,2.300100000000000061e-02,2.503299999999999970e-01,9.948999999999999511e-04,2.513252000000000264e-01,1.526800000000000032e-02,6.685562000000000449e-01,1.206999999999999957e-03,1.647500000000000006e-02,1.097092699999999921e+00,1.421324000000000032e+00,4.700400000000000134e-01,-5.642500000000000293e-01
5.000000000000000000e+00,3.054799999999999877e-02,2.504649999999999932e-01,1.003999999999999901e-03,2.514686999999999895e-01,2.031360000000000110e-02,6.700068999999999608e-01,1.265300000000000018e-03,2.157900000000000096e-02,1.107643600000000061e+00,1.462717999999999963e+00,4.639300000000000090e-01,-5.779999999999999583e-01
6.000000000000000000e+00,3.843900000000000095e-02,2.506459999999999799e-01,1.014399999999999937e-03,2.516602000000000006e-01,2.561319999999999916e-02,6.748326999999999520e-01,1.324300000000000043e-03,2.693759999999999905e-02,1.119720999999999966e+00,1.498094000000000037e+00,4.569799999999999973e-01,-5.887000000000000011e-01
7.000000000000000000e+00,4.621000000000000107e-02,2.508650000000000047e-01,1.024799999999999973e-03,2.518898999999999999e-01,3.088190000000000032e-02,6.820462999999999942e-01,1.352600000000000026e-03,3.223460000000000214e-02,1.131114100000000011e+00,1.441660900000000023e+00,4.504799999999999915e-01,-5.637999999999999678e-01
8.000000000000000000e+00,5.389900000000000246e-02,2.511229999999999851e-01,1.035399999999999906e-03,2.521580999999999961e-01,3.615659999999999707e-02,6.885567999999999689e-01,1.431299999999999933e-03,3.758790000000000048e-02,1.142012299999999980e+00,1.501463299999999945e+00,4.443199999999999927e-01,-5.848299999999999610e-01
9.000000000000000000e+00,6.199099999999999749e-02,2.514379999999999948e-01,1.047399999999999980e-03,2.524853000000000236e-01,4.174970000000000070e-02,6.927476000000000189e-01,1.494300000000000055e-03,4.324399999999999772e-02,1.154877300000000107e+00,1.561414700000000044e+00,4.370999999999999885e-01,-6.049299999999999677e-01
1.000000000000000000e+01,7.006099999999999828e-02,2.517969999999999930e-01,1.059499999999999895e-03,2.528568999999999956e-01,4.735280000000000045e-02,6.944177999999999740e-01,1.528199999999999958e-03,4.888100000000000084e-02,1.167249100000000039e+00,1.506215599999999988e+00,4.302300000000000013e-01,-5.807200000000000140e-01
1.100000000000000000e+01,7.813900000000000012e-02,2.522030000000000105e-01,1.072100000000000093e-03,2.532747000000000193e-01,5.296370000000000244e-02,6.950001000000000095e-01,1.608800000000000074e-03,5.457250000000000295e-02,1.179200400000000037e+00,1.539483900000000016e+00,4.236599999999999810e-01,-5.912199999999999678e-01
1.200000000000000000e+01,8.652400000000000369e-02,2.526709999999999789e-01,1.085999999999999943e-03,2.537571000000000132e-01,5.879500000000000004e-02,6.977008999999999572e-01,1.686900000000000075e-03,6.048189999999999816e-02,1.192631400000000008e+00,1.612507600000000041e+00,4.163499999999999979e-01,-6.162800000000000500e-01
1.300000000000000000e+01,9.511999999999999622e-02,2.532019999999999826e-01,1.100700000000000029e-03,2.543030000000000013e-01,6.481180000000000274e-02,7.052253000000000549e-01,1.744300000000000061e-03,6.655610000000000692e-02,1.206585900000000100e+00,1.597452799999999895e+00,4.088399999999999812e-01,-6.074699999999999545e-01
1.400000000000000000e+01,1.038430000000000047e-01,2.537940000000000196e-01,1.116199999999999918e-03,2.549104999999999843e-01,7.100979999999999792e-02,7.148358999999999686e-01,1.813200000000000055e-03,7.282299999999999884e-02,1.220290300000000050e+00,1.581819800000000109e+00,4.015599999999999725e-01,-5.990299999999999514e-01
1.500000000000000000e+01,1.127950000000000064e-01,2.544589999999999907e-01,1.132799999999999996e-03,2.555915999999999744e-01,7.744910000000000683e-02,7.101766000000000467e-01,1.916200000000000065e-03,7.936529999999999974e-02,1.234550700000000001e+00,1.658843199999999962e+00,3.940699999999999759e-01,-6.255800000000000249e-01
1.600000000000000000e+01,1.222160000000000052e-01,2.552200000000000024e-01,1.151499999999999963e-03,2.563718999999999859e-01,8.404960000000000209e-02,6.789353999999999667e-01,2.003299999999999959e-03,8.605290000000000161e-02,1.250832699999999909e+00,1.700963400000000014e+00,3.856299999999999728e-01,-6.381200000000000205e-01
1.700000000000000000e+01,1.319059999999999955e-01,2.560669999999999891e-01,1.171100000000000006e-03,2.572380000000000222e-01,9.041240000000000387e-02,6.426176000000000110e-01,2.063699999999999909e-03,9.247610000000000552e-02,1.267042999999999919e+00,1.666462000000000110e+00,3.773500000000000187e-01,-6.223199999999999843e-01
1.800000000000000000e+01,1.419449999999999878e-01,2.570060000000000122e-01,1.192300000000000087e-03,2.581986000000000003e-01,9.671770000000000367e-02,6.571709000000000023e-01,2.203899999999999956e-03,9.892170000000000130e-02,1.283705400000000107e+00,1.748316699999999946e+00,3.689799999999999747e-01,-6.502200000000000202e-01
1.900000000000000000e+01,1.525779999999999914e-01,2.580700000000000216e-01,1.216800000000000086e-03,2.592867999999999840e-01,1.040331000000000033e-01,7.577061000000000490e-01,2.338199999999999914e-03,1.063713000000000020e-01,1.303292700000000082e+00,1.811568199999999962e+00,3.593000000000000083e-01,-6.700000000000000400e-01
