# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.100000000000000000e+01,5.400000000000000000e+02,6.285000000000000000e+02,8.653999999999999773e+02,5.686000000000000227e+02,1.603407000000000000e+06,2.573000000000000000e+03,1.095879999999999965e+00,3.385240000000000027e+00,3.741649999999999920e+00,3.743199999999999861e+00,1.041400000000000103e+00,1.365399999999999947e+00,1.238089999999999913e+00,7.184999999999999720e-02,1.453999999999999997e-03,1.220000000000000077e-02,1.513999999999999938e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.200000000000000000e+01,5.400000000000000000e+02,6.251000000000000227e+02,8.650000000000000000e+02,5.675000000000000000e+02,1.605492000000000000e+06,2.570000000000000000e+03,1.092389999999999972e+00,3.386249999999999982e+00,3.729750000000000121e+00,3.731619999999999937e+00,1.052000000000000046e+00,1.365299999999999958e+00,1.234089999999999909e+00,7.113999999999999491e-02,1.453999999999999997e-03,1.220000000000000077e-02,1.529999999999999893e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.300000000000000000e+01,5.400000000000000000e+02,6.217999999999999545e+02,8.646000000000000227e+02,5.665000000000000000e+02,1.607396000000000000e+06,2.566000000000000000e+03,1.088950000000000085e+00,3.387230000000000185e+00,3.717960000000000154e+00,3.720190000000000108e+00,1.062500000000000000e+00,1.365199999999999969e+00,1.196080000000000032e+00,1.197300000000000031e-01,1.454999999999999913e-03,1.230000000000000017e-02,1.546000000000000065e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.400000000000000000e+01,5.400000000000000000e+02,6.186000000000000227e+02,8.642000000000000455e+02,5.655000000000000000e+02,1.609129000000000000e+06,2.563000000000000000e+03,1.085550000000000015e+00,3.388110000000000177e+00,3.706210000000000004e+00,3.708839999999999915e+00,1.072899999999999965e+00,1.365099999999999980e+00,1.199589999999999934e+00,1.076300000000000034e-01,1.456000000000000046e-03,1.230000000000000017e-02,1.562000000000000020e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.500000000000000000e+01,5.400000000000000000e+02,6.150000000000000000e+02,8.637000000000000455e+02,5.643999999999999773e+02,1.610868000000000000e+06,2.558000000000000000e+03,1.081800000000000095e+00,3.389330000000000176e+00,3.693540000000000045e+00,3.696629999999999860e+00,1.084600000000000009e+00,1.364999999999999991e+00,1.209540000000000060e+00,8.595999999999999475e-02,1.456999999999999962e-03,1.230000000000000017e-02,1.580000000000000024e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.600000000000000000e+01,5.400000000000000000e+02,6.113999999999999773e+02,8.632000000000000455e+02,5.632000000000000455e+02,1.612456000000000000e+06,2.554000000000000000e+03,1.078000000000000069e+00,3.390649999999999942e+00,3.680779999999999941e+00,3.684369999999999923e+00,1.096400000000000041e+00,1.364900000000000002e+00,1.180199999999999916e+00,1.214999999999999969e-01,1.458000000000000095e-03,1.239999999999999956e-02,1.598999999999999944e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.700000000000000000e+01,5.400000000000000000e+02,6.077999999999999545e+02,8.627999999999999545e+02,5.621000000000000227e+02,1.613863000000000000e+06,2.549000000000000000e+03,1.074219999999999953e+00,3.391840000000000188e+00,3.667940000000000200e+00,3.672079999999999789e+00,1.108400000000000052e+00,1.364700000000000024e+00,1.157040000000000068e+00,1.475799999999999890e-01,1.459000000000000010e-03,1.239999999999999956e-02,1.616999999999999948e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.800000000000000000e+01,5.400000000000000000e+02,6.042000000000000455e+02,8.622999999999999545e+02,5.608999999999999773e+02,1.615133000000000000e+06,2.544000000000000000e+03,1.070330000000000004e+00,3.393149999999999888e+00,3.654819999999999958e+00,3.659549999999999859e+00,1.120700000000000029e+00,1.364600000000000035e+00,1.167650000000000077e+00,1.242000000000000048e-01,1.461000000000000059e-03,1.250000000000000069e-02,1.637000000000000000e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.900000000000000000e+01,5.400000000000000000e+02,6.002000000000000455e+02,8.617999999999999545e+02,5.596000000000000227e+02,1.616323000000000000e+06,2.538000000000000000e+03,1.066079999999999917e+00,3.394829999999999792e+00,3.640750000000000153e+00,3.646119999999999806e+00,1.134400000000000075e+00,1.364500000000000046e+00,1.165070000000000050e+00,1.198700000000000043e-01,1.461999999999999975e-03,1.250000000000000069e-02,1.657999999999999969e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
2.000000000000000000e+01,5.400000000000000000e+02,5.962000000000000455e+02,8.612999999999999545e+02,5.583999999999999773e+02,1.617310000000000000e+06,2.532000000000000000e+03,1.061830000000000052e+00,3.396510000000000140e+00,3.626660000000000217e+00,3.632709999999999884e+00,1.148099999999999898e+00,1.364400000000000057e+00,1.129720000000000057e+00,1.632500000000000062e-01,1.463000000000000108e-03,1.260000000000000009e-02,1.680000000000000070e-03,5.488430000000000142e+00,1.148377999999999899e+00,1.465399999999999949e-03,1.474599999999999956e-03,1.465399999999999949e-03,1.474599999999999956e-03,1.690000000000000096e-03,1.670000000000000095e-01
