# POINT,X,Untitled2,Untitled3,Untitled4,Untitled5,Untitled6,Untitled7,Untitled8
4.100000000000000000e+01,3.870566500000000021e-02,8.951733899999999577e-01,1.048714399999999936e+00,7.246792700000000309e+01,4.201799999999999979e-01,1.294891400000000026e-01,1.935279999999999986e-02,4.475867000000000040e-01
4.300000000000000000e+01,5.678609500000000171e-02,9.480839300000000192e-01,1.069387000000000087e+00,6.924675200000000075e+01,7.035962599999999734e-01,3.981601200000000063e-01,2.839300000000000157e-02,4.740420000000000189e-01
4.500000000000000000e+01,9.142772200000000293e-02,1.031817699999999949e+00,1.108900699999999961e+00,6.439488900000000626e+01,1.344673100000000066e+00,9.828655400000000375e-01,4.571390000000000176e-02,5.159089000000000036e-01
