# X_IN,Y_IN,DY_over_DX,ANGLE,D2Y_over_DX2
2.799999999999999822e+00,1.437065000000000037e+00,3.471565140000000271e-01,1.914477769999999879e+01,-3.427181390000000327e-02
2.879999999999999893e+00,1.464728000000000030e+00,3.444351669999999865e-01,1.900550899999999999e+01,-3.376187239999999673e-02
2.959999999999999964e+00,1.492175999999999947e+00,3.417546149999999838e-01,1.886809969999999836e+01,-3.325193089999999713e-02
3.040000000000000036e+00,1.519409999999999927e+00,3.391148580000000190e-01,1.873256119999999925e+01,-3.274198949999999886e-02
3.120000000000000107e+00,1.546435000000000004e+00,3.365158959999999810e-01,1.859890449999999973e+01,-3.223204799999999925e-02
3.200000000000000178e+00,1.573253999999999930e+00,3.339577300000000082e-01,1.846714060000000046e+01,-3.172210649999999965e-02
3.279999999999999805e+00,1.599868999999999986e+00,3.314403590000000177e-01,1.833727999999999980e+01,-3.121216500000000005e-02
3.359999999999999876e+00,1.626284999999999981e+00,3.289637839999999813e-01,1.820933319999999966e+01,-3.070222350000000044e-02
3.439999999999999947e+00,1.652504999999999891e+00,3.265274619999999905e-01,1.808328230000000048e+01,-3.022115059999999978e-02
3.520000000000000018e+00,1.678530999999999995e+00,3.241277040000000165e-01,1.795894579999999863e+01,-2.977281270000000160e-02
3.600000000000000089e+00,1.704366000000000048e+00,3.217638119999999824e-01,1.783629639999999839e+01,-2.932447479999999995e-02
3.680000000000000160e+00,1.730013999999999941e+00,3.194357879999999983e-01,1.771534259999999961e+01,-2.887613680000000044e-02
3.759999999999999787e+00,1.755476999999999954e+00,3.171436300000000097e-01,1.759609269999999981e+01,-2.842779889999999879e-02
3.839999999999999858e+00,1.780758000000000063e+00,3.148873400000000156e-01,1.747855489999999890e+01,-2.797946100000000061e-02
3.919999999999999929e+00,1.805860000000000021e+00,3.126669169999999887e-01,1.736273699999999920e+01,-2.753112300000000109e-02
4.000000000000000000e+00,1.830785000000000107e+00,3.104823600000000128e-01,1.724864690000000067e+01,-2.708278509999999945e-02
4.080000000000000071e+00,1.855537999999999910e+00,3.083336709999999758e-01,1.713629219999999975e+01,-2.663444709999999993e-02
4.160000000000000142e+00,1.880120000000000013e+00,3.062208490000000172e-01,1.702568030000000121e+01,-2.618610919999999828e-02
4.240000000000000213e+00,1.904533999999999949e+00,3.041394849999999872e-01,1.691658729999999977e+01,-2.584838869999999886e-02
4.320000000000000284e+00,1.928782999999999914e+00,3.020851070000000194e-01,1.680878470000000036e+01,-2.551106150000000128e-02
4.400000000000000355e+00,1.952868000000000048e+00,3.000577150000000026e-01,1.670227799999999974e+01,-2.517373430000000023e-02
4.480000000000000426e+00,1.976793000000000022e+00,2.980573089999999925e-01,1.659707230000000067e+01,-2.483640709999999918e-02
4.559999999999999609e+00,2.000557999999999836e+00,2.960838900000000162e-01,1.649317290000000114e+01,-2.449907990000000160e-02
4.639999999999999680e+00,2.024166999999999828e+00,2.941374560000000193e-01,1.639058490000000035e+01,-2.416175259999999922e-02
4.719999999999999751e+00,2.047620999999999913e+00,2.922180090000000008e-01,1.628931340000000105e+01,-2.382442540000000164e-02
4.799999999999999822e+00,2.070921999999999930e+00,2.903255479999999888e-01,1.618936310000000134e+01,-2.348709820000000059e-02
4.879999999999999893e+00,2.094073999999999991e+00,2.884600729999999835e-01,1.609073890000000162e+01,-2.314977099999999954e-02
4.959999999999999964e+00,2.117077000000000098e+00,2.866215850000000120e-01,1.599344540000000059e+01,-2.281244379999999849e-02
5.040000000000000036e+00,2.139933999999999781e+00,2.848100820000000200e-01,1.589748739999999927e+01,-2.247511660000000092e-02
5.120000000000000107e+00,2.162647000000000208e+00,2.830248870000000028e-01,1.580283329999999964e+01,-2.217658479999999946e-02
5.200000000000000178e+00,2.185217999999999883e+00,2.812607060000000270e-01,1.570920629999999996e+01,-2.192795490000000111e-02
5.280000000000000249e+00,2.207648999999999972e+00,2.795164150000000181e-01,1.561655020000000071e+01,-2.167932490000000142e-02
5.360000000000000320e+00,2.229941999999999869e+00,2.777920139999999760e-01,1.552486820000000023e+01,-2.143069499999999961e-02
5.440000000000000391e+00,2.252097000000000016e+00,2.760875030000000119e-01,1.543416359999999976e+01,-2.118206499999999992e-02
5.519999999999999574e+00,2.274115999999999804e+00,2.744028829999999863e-01,1.534443950000000001e+01,-2.093343510000000157e-02
5.599999999999999645e+00,2.296002000000000098e+00,2.727381540000000104e-01,1.525569899999999990e+01,-2.068480509999999842e-02
5.679999999999999716e+00,2.317755000000000010e+00,2.710933150000000014e-01,1.516794499999999957e+01,-2.043617520000000007e-02
5.759999999999999787e+00,2.339376999999999818e+00,2.694683660000000147e-01,1.508118059999999971e+01,-2.018754530000000172e-02
5.839999999999999858e+00,2.360869999999999802e+00,2.678633069999999949e-01,1.499540870000000048e+01,-1.993891529999999856e-02
5.919999999999999929e+00,2.382235999999999798e+00,2.662781390000000248e-01,1.491063210000000083e+01,-1.969028540000000022e-02
6.000000000000000000e+00,2.403474999999999806e+00,2.647128619999999932e-01,1.482685369999999914e+01,-1.944165540000000053e-02
6.080000000000000071e+00,2.424589999999999801e+00,2.631674740000000123e-01,1.474407620000000030e+01,-1.919302549999999871e-02
6.160000000000000142e+00,2.445583000000000062e+00,2.616419779999999973e-01,1.466230230000000034e+01,-1.894439549999999903e-02
6.240000000000000213e+00,2.466454000000000146e+00,2.601363859999999972e-01,1.458153549999999932e+01,-1.869471799999999906e-02
6.320000000000000284e+00,2.487204999999999888e+00,2.586508710000000044e-01,1.450178760000000011e+01,-1.844314860000000056e-02
6.400000000000000355e+00,2.507838000000000012e+00,2.571854820000000208e-01,1.442306390000000071e+01,-1.819157919999999859e-02
6.480000000000000426e+00,2.528354999999999908e+00,2.557402189999999909e-01,1.434536680000000075e+01,-1.794000980000000009e-02
6.559999999999999609e+00,2.548757000000000161e+00,2.543150809999999984e-01,1.426869879999999924e+01,-1.768844040000000159e-02
