# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.263906900000000277e+00,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan
2.000000000000000000e+00,1.495939999999999943e-02,1.000010899999999925e+00,4.263912699999999667e+00,1.000002800000000081e+00,1.000002800000000081e+00,-2.421143999999999963e+00,-9.749884000000000233e+05,-1.631618000000000013e+00
3.000000000000000000e+00,2.941399999999999917e-02,1.000042499999999945e+00,4.263929100000000361e+00,1.000010800000000089e+00,1.000010800000000089e+00,-1.244480000000000031e+00,-1.282553000000000029e+05,-8.382494999999999807e-01
4.000000000000000000e+00,4.339239999999999764e-02,1.000092999999999899e+00,4.263954899999999881e+00,1.000023499999999954e+00,1.000023499999999954e+00,-8.501037000000000177e-01,-3.994841999999999825e+04,-5.729866000000000126e-01
5.000000000000000000e+00,5.692860000000000281e-02,1.000160799999999961e+00,4.263988799999999912e+00,1.000040500000000110e+00,1.000040500000000110e+00,-6.518256000000000050e-01,-1.769097000000000116e+04,-4.396750999999999854e-01
6.000000000000000000e+00,7.006329999999999503e-02,1.000244399999999922e+00,4.264029999999999987e+00,1.000061400000000100e+00,1.000061400000000100e+00,-5.322461000000000553e-01,-9.490156000000000859e+03,-3.587552999999999992e-01
7.000000000000000000e+00,8.284479999999999622e-02,1.000342599999999971e+00,4.264077699999999638e+00,1.000085799999999914e+00,1.000085799999999914e+00,-4.517038999999999915e-01,-5.740555999999999585e+03,-3.033332000000000250e-01
8.000000000000000000e+00,9.532909999999999995e-02,1.000454200000000071e+00,4.264131199999999566e+00,1.000113599999999936e+00,1.000113599999999936e+00,-3.931324999999999958e-01,-3.767695000000000164e+03,-2.623763000000000067e-01
9.000000000000000000e+00,1.075813999999999937e-01,1.000578200000000084e+00,4.264190199999999820e+00,1.000144700000000109e+00,1.000144700000000109e+00,-3.482165999999999872e-01,-2.621465000000000146e+03,-2.300868000000000080e-01
1.000000000000000000e+01,1.196756999999999960e-01,1.000714000000000103e+00,4.264254600000000117e+00,1.000178999999999929e+00,1.000178999999999929e+00,-3.121036999999999839e-01,-1.904327999999999975e+03,-2.031060000000000088e-01
