# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,RE_over_FT,DELTA,N,H,THETA,DELTAstar,X
1.100000000000000000e+01,5.400000000000000000e+02,8.840000000000000000e+02,1.159599999999999909e+03,6.433999999999999773e+02,1.124809000000000000e+06,2.033000000000000000e+03,1.360049999999999981e+00,3.556369999999999809e+00,4.886560000000000237e+00,4.886949999999999683e+00,4.743999999999999884e-01,1.381399999999999961e+00,2.313089999999999868e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.599999999999999159e-03,6.279999999999999775e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,5.400000000000000000e+02,8.831000000000000227e+02,1.159400000000000091e+03,6.431000000000000227e+02,1.125394000000000000e+06,2.033000000000000000e+03,1.359189999999999898e+00,3.556430000000000202e+00,4.883460000000000356e+00,4.883899999999999686e+00,4.758999999999999897e-01,1.381399999999999961e+00,2.258360000000000145e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.300000000000000261e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,5.400000000000000000e+02,8.822000000000000455e+02,1.159299999999999955e+03,6.428999999999999773e+02,1.125968000000000000e+06,2.033000000000000000e+03,1.358349999999999946e+00,3.556500000000000217e+00,4.880390000000000228e+00,4.880880000000000329e+00,4.773999999999999910e-01,1.381299999999999972e+00,2.198719999999999786e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.319999999999999663e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,5.400000000000000000e+02,8.812999999999999545e+02,1.159200000000000045e+03,6.426000000000000227e+02,1.126532000000000000e+06,2.032000000000000000e+03,1.357509999999999994e+00,3.556569999999999787e+00,4.877349999999999852e+00,4.877880000000000216e+00,4.788000000000000034e-01,1.381299999999999972e+00,2.134689999999999976e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.340000000000000149e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,5.400000000000000000e+02,8.803999999999999773e+02,1.159099999999999909e+03,6.423999999999999773e+02,1.127091000000000000e+06,2.032000000000000000e+03,1.356670000000000043e+00,3.556649999999999867e+00,4.874319999999999986e+00,4.874869999999999592e+00,4.803000000000000047e-01,1.381299999999999972e+00,2.067159999999999886e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.359999999999999551e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,5.400000000000000000e+02,8.793999999999999773e+02,1.159000000000000000e+03,6.421000000000000227e+02,1.127647000000000000e+06,2.032000000000000000e+03,1.355820000000000025e+00,3.556729999999999947e+00,4.871269999999999989e+00,4.871850000000000236e+00,4.818000000000000060e-01,1.381299999999999972e+00,1.997339999999999893e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.380000000000000037e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,5.400000000000000000e+02,8.785000000000000000e+02,1.158900000000000091e+03,6.418999999999999773e+02,1.128203000000000000e+06,2.032000000000000000e+03,1.354970000000000008e+00,3.556810000000000027e+00,4.868199999999999861e+00,4.868789999999999729e+00,4.833000000000000074e-01,1.381199999999999983e+00,1.926520000000000010e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.400000000000000524e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,5.400000000000000000e+02,8.776000000000000227e+02,1.158700000000000045e+03,6.416000000000000227e+02,1.128761000000000000e+06,2.032000000000000000e+03,1.354100000000000081e+00,3.556900000000000173e+00,4.865079999999999849e+00,4.865680000000000227e+00,4.848000000000000087e-01,1.381199999999999983e+00,1.856000000000000094e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.419999999999999925e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,5.400000000000000000e+02,8.766000000000000227e+02,1.158599999999999909e+03,6.412999999999999545e+02,1.129322000000000000e+06,2.031000000000000000e+03,1.353220000000000089e+00,3.556989999999999874e+00,4.861919999999999575e+00,4.862519999999999953e+00,4.863999999999999990e-01,1.381199999999999983e+00,1.786939999999999973e+00,6.586000000000000187e-02,1.324000000000000090e-03,9.599999999999999159e-03,6.440000000000000412e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,5.400000000000000000e+02,8.757000000000000455e+02,1.158500000000000000e+03,6.411000000000000227e+02,1.129889000000000000e+06,2.031000000000000000e+03,1.352319999999999967e+00,3.557040000000000202e+00,4.858629999999999782e+00,4.859219999999999651e+00,4.879999999999999893e-01,1.381199999999999983e+00,1.720220000000000082e+00,1.522999999999999909e-01,1.324000000000000090e-03,9.599999999999999159e-03,6.459999999999999814e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
