# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
7.000000000000000000e+00,2.336484100000000008e-01,2.501563900000000062e-01,1.044812800000000097e+00,7.315837600000000407e+01,4.149258200000000008e-01,2.843144300000000069e-01,5.841210000000000152e-02,6.253910000000000025e-02
8.000000000000000000e+00,3.012827900000000225e-01,4.507347600000000121e-01,1.079332399999999970e+00,6.789542899999999293e+01,9.563462400000000141e-01,8.257348399999999700e-01,7.532070000000000431e-02,1.126836999999999978e-01
9.000000000000000000e+00,3.879496100000000003e-01,6.508357099999999562e-01,1.130839900000000009e+00,6.216531700000000171e+01,1.962355599999999978e+00,1.831744199999999934e+00,9.698740000000000139e-02,1.627088999999999896e-01
1.000000000000000000e+01,4.760727599999999837e-01,8.183864199999999478e-01,1.191340899999999925e+00,5.707579199999999986e+01,3.346738699999999955e+00,3.216127300000000133e+00,1.190182000000000045e-01,2.045965999999999896e-01
1.100000000000000000e+01,5.588663499999999562e-01,9.560546800000000456e-01,1.258075099999999891e+00,5.264251500000000306e+01,5.042269100000000392e+00,4.911657700000000126e+00,1.397165999999999964e-01,2.390136999999999956e-01
1.200000000000000000e+01,6.315705900000000428e-01,1.066400500000000084e+00,1.329298499999999938e+00,4.878796200000000027e+01,6.979962300000000397e+00,6.849350900000000131e+00,1.578925999999999941e-01,2.666001000000000065e-01
1.300000000000000000e+01,6.905963800000000097e-01,1.150778000000000079e+00,1.403648500000000077e+00,4.543289899999999903e+01,9.092184500000000114e+00,8.961573100000000736e+00,1.726490999999999998e-01,2.876945000000000197e-01
