# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
3.000000000000000000e+00,2.875611000000000139e-01,8.338546400000000636e-02,1.055797499999999944e+00,7.128946799999999939e+01,5.724943700000000302e-01,1.267458700000000105e-01,7.189030000000000420e-02,2.084640000000000104e-02
4.000000000000000000e+00,3.672964499999999965e-01,2.979626400000000008e-01,1.088144599999999906e+00,6.677966999999999587e+01,1.113914800000000094e+00,6.681662900000000516e-01,9.182410000000000572e-02,7.449070000000000691e-02
5.000000000000000000e+00,4.662211800000000128e-01,5.147722599999999815e-01,1.138162099999999954e+00,6.147508100000000297e+01,2.119924199999999814e+00,1.674175699999999933e+00,1.165553000000000006e-01,1.286931000000000047e-01
6.000000000000000000e+00,5.651699500000000320e-01,6.970294599999999896e-01,1.197803299999999904e+00,5.660143399999999758e+01,3.504307199999999956e+00,3.058558699999999853e+00,1.412924999999999875e-01,1.742574000000000067e-01
7.000000000000000000e+00,6.577804600000000113e-01,8.475703799999999566e-01,1.264024899999999896e+00,5.229064499999999782e+01,5.199837699999999785e+00,4.754089200000000126e+00,1.644451000000000107e-01,2.118925999999999865e-01
8.000000000000000000e+00,7.395914700000000286e-01,9.695314499999999613e-01,1.334938500000000028e+00,4.851232100000000003e+01,7.137530899999999789e+00,6.691782400000000131e+00,1.848979000000000039e-01,2.423829000000000122e-01
9.000000000000000000e+00,8.071805699999999861e-01,1.064697599999999911e+00,1.409106799999999993e+00,4.520802599999999671e+01,9.249753000000000114e+00,8.804004600000000735e+00,2.017951000000000050e-01,2.661743999999999777e-01
1.000000000000000000e+01,8.580684899999999615e-01,1.133927099999999966e+00,1.485314699999999988e+00,4.231901899999999728e+01,1.147310099999999977e+01,1.102735299999999974e+01,2.145170999999999883e-01,2.834818000000000060e-01
1.100000000000000000e+01,8.907450300000000487e-01,1.177641799999999961e+00,1.562489699999999981e+00,3.979213399999999723e+01,1.375060200000000066e+01,1.330485299999999960e+01,2.226863000000000037e-01,2.944104000000000165e-01
