# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,7.116179099999999647e-01,0.000000000000000000e+00,1.185366200000000036e+00,5.752450100000000077e+01,3.202528800000000064e+00,0.000000000000000000e+00,1.779044999999999932e-01,0.000000000000000000e+00
2.000000000000000000e+00,8.385333799999999949e-01,1.920423500000000006e-01,1.229943199999999903e+00,5.439457600000000070e+01,4.310277300000000089e+00,1.107748500000000025e+00,2.096332999999999946e-01,4.801060000000000050e-02
3.000000000000000000e+00,9.598723599999999800e-01,3.630715199999999809e-01,1.281675499999999968e+00,5.128152200000000249e+01,5.672360600000000197e+00,2.469831699999999852e+00,2.399680999999999897e-01,9.076789999999999858e-02
4.000000000000000000e+00,1.072583999999999982e+00,5.130402499999999755e-01,1.338654400000000022e+00,4.833279100000000028e+01,7.241621399999999653e+00,4.039092600000000033e+00,2.681459999999999955e-01,1.282600999999999880e-01
5.000000000000000000e+00,1.174390899999999904e+00,6.427848299999999737e-01,1.399431300000000045e+00,4.560846200000000294e+01,8.970638499999999738e+00,5.768109700000000117e+00,2.935977000000000170e-01,1.606962000000000113e-01
6.000000000000000000e+00,1.263501200000000102e+00,7.530587199999999592e-01,1.462837399999999954e+00,4.312583699999999709e+01,1.081357099999999960e+01,7.611041799999999746e+00,3.158753000000000255e-01,1.882647000000000070e-01
7.000000000000000000e+00,1.338599000000000094e+00,8.443946599999999636e-01,1.527885399999999949e+00,4.088170000000000215e+01,1.272768499999999925e+01,9.525156600000000751e+00,3.346497999999999973e-01,2.110987000000000002e-01
8.000000000000000000e+00,1.398880399999999913e+00,9.171874800000000549e-01,1.593717800000000073e+00,3.886324299999999710e+01,1.467450700000000019e+01,1.147197800000000001e+01,3.497200999999999782e-01,2.292968999999999979e-01
9.000000000000000000e+00,1.444074800000000103e+00,9.718248099999999834e-01,1.659583400000000042e+00,3.705352599999999796e+01,1.662056300000000064e+01,1.341803400000000046e+01,3.610187000000000257e-01,2.429562000000000110e-01
1.000000000000000000e+01,1.474430899999999989e+00,1.008808600000000055e+00,1.724826299999999923e+00,3.543426399999999887e+01,1.853773800000000094e+01,1.533520900000000076e+01,3.686076999999999826e-01,2.522020999999999846e-01
1.100000000000000000e+01,1.490668300000000057e+00,1.028845599999999916e+00,1.788880100000000084e+00,3.398728700000000202e+01,2.040327800000000025e+01,1.720074899999999829e+01,3.726670999999999734e-01,2.572113999999999789e-01
1.200000000000000000e+01,1.493900100000000064e+00,1.032900099999999988e+00,1.851265200000000055e+00,3.269528900000000249e+01,2.219951800000000119e+01,1.899699000000000026e+01,3.734750000000000014e-01,2.582249999999999823e-01
1.300000000000000000e+01,1.485539200000000060e+00,1.022208400000000017e+00,1.911583999999999950e+00,3.154219700000000159e+01,2.391340599999999839e+01,2.071087699999999998e+01,3.713848000000000149e-01,2.555521000000000043e-01
1.400000000000000000e+01,1.467198699999999967e+00,9.982616600000000506e-01,1.969516299999999998e+00,3.051333400000000040e+01,2.553591099999999869e+01,2.233338200000000029e+01,3.667997000000000063e-01,2.495653999999999928e-01
1.500000000000000000e+01,1.440597499999999975e+00,9.627643500000000465e-01,2.024812799999999857e+00,2.959545100000000062e+01,2.706138599999999883e+01,2.385885700000000043e+01,3.601494000000000084e-01,2.406910999999999912e-01
1.600000000000000000e+01,1.407478299999999960e+00,9.175791100000000311e-01,2.077287300000000059e+00,2.877668600000000154e+01,2.848693499999999901e+01,2.528440600000000060e+01,3.518696000000000046e-01,2.293948000000000098e-01
1.700000000000000000e+01,1.369540699999999944e+00,8.646654000000000284e-01,2.126809600000000078e+00,2.804648999999999859e+01,2.981183100000000152e+01,2.660930199999999957e+01,3.423852000000000007e-01,2.161664000000000085e-01
