# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
1.100000000000000000e+01,7.807799999999999463e-02,2.521939999999999737e-01,1.072299999999999989e-03,2.532662999999999998e-01,5.271370000000000222e-02,7.426703999999999528e-01,1.625900000000000001e-03,5.433960000000000179e-02,1.180204599999999937e+00,1.644158800000000031e+00,4.231099999999999861e-01,-6.307000000000000384e-01
1.200000000000000000e+01,8.647100000000000619e-02,2.526630000000000265e-01,1.085999999999999943e-03,2.537484999999999880e-01,5.908730000000000232e-02,7.615897999999999834e-01,1.676699999999999935e-03,6.076399999999999857e-02,1.193764400000000059e+00,1.588864700000000019e+00,4.157399999999999984e-01,-6.061999999999999611e-01
1.300000000000000000e+01,9.495199999999999474e-02,2.531919999999999726e-01,1.100599999999999972e-03,2.542922000000000238e-01,6.556489999999999541e-02,7.513663999999999898e-01,1.736099999999999970e-03,6.730089999999999684e-02,1.207009800000000022e+00,1.536476500000000023e+00,4.086199999999999832e-01,-5.837999999999999856e-01
1.400000000000000000e+01,1.035569999999999963e-01,2.537840000000000096e-01,1.115600000000000012e-03,2.548991999999999924e-01,7.192170000000000507e-02,7.167757000000000156e-01,1.833400000000000004e-03,7.375500000000000111e-02,1.220009600000000027e+00,1.638480699999999901e+00,4.017100000000000115e-01,-6.202299999999999480e-01
1.500000000000000000e+01,1.127110000000000056e-01,2.544719999999999760e-01,1.133300000000000063e-03,2.556055999999999884e-01,7.826940000000000286e-02,6.571219000000000365e-01,1.932799999999999926e-03,8.020220000000000127e-02,1.236252799999999930e+00,1.751610399999999901e+00,3.931799999999999740e-01,-6.592000000000000082e-01
1.600000000000000000e+01,1.221109999999999973e-01,2.552369999999999917e-01,1.151499999999999963e-03,2.563887999999999723e-01,8.409590000000000121e-02,5.698682999999999943e-01,1.982499999999999887e-03,8.607839999999999936e-02,1.252497699999999936e+00,1.700378200000000062e+00,3.847700000000000009e-01,-6.363699999999999912e-01
1.700000000000000000e+01,1.317820000000000102e-01,2.560779999999999723e-01,1.171100000000000006e-03,2.572486999999999968e-01,8.910940000000000527e-02,5.266148000000000495e-01,2.060300000000000152e-03,9.116970000000000629e-02,1.268664299999999967e+00,1.672549000000000063e+00,3.765299999999999758e-01,-6.233400000000000052e-01
1.800000000000000000e+01,1.417720000000000091e-01,2.569910000000000250e-01,1.191999999999999917e-03,2.581827999999999901e-01,9.445520000000000305e-02,6.242887000000000297e-01,2.213800000000000143e-03,9.666900000000000492e-02,1.285382900000000106e+00,1.794605400000000017e+00,3.681400000000000228e-01,-6.660399999999999654e-01
1.900000000000000000e+01,1.524469999999999992e-01,2.580339999999999856e-01,1.216999999999999983e-03,2.592509000000000063e-01,1.021370000000000056e-01,9.123925000000000507e-01,2.397100000000000099e-03,1.045341000000000048e-01,1.305922500000000097e+00,1.890586199999999995e+00,3.580099999999999949e-01,-6.971600000000000019e-01
2.000000000000000000e+01,1.635639999999999872e-01,2.592209999999999792e-01,1.244300000000000050e-03,2.604647999999999963e-01,1.145118999999999998e-01,1.403830200000000028e+00,2.551799999999999902e-03,1.170637000000000066e-01,1.326552200000000070e+00,1.823821200000000031e+00,3.480500000000000260e-01,-6.683499999999999996e-01
