# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.100000000000000000e+01,5.400000000000000000e+02,6.285000000000000000e+02,8.653999999999999773e+02,5.686000000000000227e+02,1.603407000000000000e+06,2.578000000000000000e+03,1.095879999999999965e+00,3.383939999999999948e+00,3.740209999999999813e+00,3.741569999999999840e+00,1.041400000000000103e+00,1.365299999999999958e+00,1.234680000000000000e+00,7.266999999999999849e-02,1.456000000000000046e-03,1.220000000000000077e-02,1.516999999999999902e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.200000000000000000e+01,5.400000000000000000e+02,6.251000000000000227e+02,8.650000000000000000e+02,5.675000000000000000e+02,1.605492000000000000e+06,2.574000000000000000e+03,1.092389999999999972e+00,3.384949999999999903e+00,3.728310000000000013e+00,3.729979999999999851e+00,1.051900000000000057e+00,1.365199999999999969e+00,1.230629999999999891e+00,7.202999999999999681e-02,1.456999999999999962e-03,1.230000000000000017e-02,1.533000000000000074e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.300000000000000000e+01,5.400000000000000000e+02,6.217999999999999545e+02,8.646000000000000227e+02,5.665000000000000000e+02,1.607396000000000000e+06,2.571000000000000000e+03,1.088950000000000085e+00,3.385920000000000041e+00,3.716520000000000046e+00,3.718529999999999891e+00,1.062400000000000011e+00,1.365099999999999980e+00,1.192600000000000104e+00,1.207300000000000040e-01,1.458000000000000095e-03,1.230000000000000017e-02,1.549000000000000030e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.400000000000000000e+01,5.400000000000000000e+02,6.186000000000000227e+02,8.642000000000000455e+02,5.655000000000000000e+02,1.609129000000000000e+06,2.568000000000000000e+03,1.085550000000000015e+00,3.386800000000000033e+00,3.704769999999999897e+00,3.707149999999999945e+00,1.072899999999999965e+00,1.364999999999999991e+00,1.196020000000000083e+00,1.087299999999999933e-01,1.459000000000000010e-03,1.230000000000000017e-02,1.564999999999999985e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.500000000000000000e+01,5.400000000000000000e+02,6.150000000000000000e+02,8.637000000000000455e+02,5.643999999999999773e+02,1.610868000000000000e+06,2.563000000000000000e+03,1.081800000000000095e+00,3.388009999999999966e+00,3.692110000000000003e+00,3.694910000000000139e+00,1.084500000000000020e+00,1.364900000000000002e+00,1.205889999999999906e+00,8.712000000000000299e-02,1.459999999999999926e-03,1.239999999999999956e-02,1.582999999999999989e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.600000000000000000e+01,5.400000000000000000e+02,6.113999999999999773e+02,8.632000000000000455e+02,5.632000000000000455e+02,1.612456000000000000e+06,2.558000000000000000e+03,1.078000000000000069e+00,3.389330000000000176e+00,3.679339999999999833e+00,3.682620000000000005e+00,1.096400000000000041e+00,1.364800000000000013e+00,1.176520000000000010e+00,1.227700000000000041e-01,1.461000000000000059e-03,1.239999999999999956e-02,1.600999999999999993e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.700000000000000000e+01,5.400000000000000000e+02,6.077999999999999545e+02,8.627999999999999545e+02,5.621000000000000227e+02,1.613863000000000000e+06,2.554000000000000000e+03,1.074219999999999953e+00,3.390519999999999978e+00,3.666500000000000092e+00,3.670300000000000118e+00,1.108300000000000063e+00,1.364700000000000024e+00,1.153310000000000057e+00,1.489600000000000091e-01,1.461999999999999975e-03,1.250000000000000069e-02,1.619999999999999912e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.800000000000000000e+01,5.400000000000000000e+02,6.042000000000000455e+02,8.622999999999999545e+02,5.608999999999999773e+02,1.615133000000000000e+06,2.549000000000000000e+03,1.070330000000000004e+00,3.391809999999999992e+00,3.653379999999999850e+00,3.657729999999999926e+00,1.120700000000000029e+00,1.364600000000000035e+00,1.163820000000000077e+00,1.256700000000000039e-01,1.463000000000000108e-03,1.250000000000000069e-02,1.639999999999999965e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
1.900000000000000000e+01,5.400000000000000000e+02,6.002000000000000455e+02,8.617999999999999545e+02,5.596000000000000227e+02,1.616323000000000000e+06,2.543000000000000000e+03,1.066079999999999917e+00,3.393489999999999895e+00,3.639310000000000045e+00,3.644270000000000120e+00,1.134300000000000086e+00,1.364500000000000046e+00,1.161159999999999970e+00,1.214200000000000002e-01,1.464999999999999939e-03,1.250000000000000069e-02,1.660999999999999933e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
2.000000000000000000e+01,5.400000000000000000e+02,5.962000000000000455e+02,8.612999999999999545e+02,5.583999999999999773e+02,1.617310000000000000e+06,2.537000000000000000e+03,1.061830000000000052e+00,3.395160000000000178e+00,3.625210000000000043e+00,3.630819999999999936e+00,1.148099999999999898e+00,1.364300000000000068e+00,1.125780000000000003e+00,1.649200000000000110e-01,1.466000000000000072e-03,1.260000000000000009e-02,1.683000000000000034e-03,5.489250000000000185e+00,1.148330999999999991e+00,1.468200000000000017e-03,1.477400000000000024e-03,1.468200000000000017e-03,1.477400000000000024e-03,1.690000000000000096e-03,1.670000000000000095e-01
