# POINT,X,Untitled2,Untitled3,Untitled4,Untitled5,Untitled6,Untitled7,Untitled8
2.100000000000000000e+01,1.750843400000000050e-01,4.511677399999999838e-01,1.047978800000000099e+00,7.259567699999999491e+01,4.109205100000000166e-01,3.148253500000000038e-01,8.754220000000000057e-02,2.255839000000000039e-01
2.300000000000000000e+01,2.101456899999999961e-01,5.531139900000000553e-01,1.075098300000000062e+00,6.845781700000000569e+01,7.889592199999999611e-01,6.027116799999999719e-01,1.050727999999999940e-01,2.765569999999999973e-01
2.500000000000000000e+01,2.679720300000000277e-01,6.872039699999999973e-01,1.122202799999999945e+00,6.301237199999999916e+01,1.583392700000000097e+00,1.209396899999999997e+00,1.339859999999999940e-01,3.436020000000000185e-01
2.700000000000000000e+01,3.403068399999999993e-01,8.229208399999999868e-01,1.186097699999999922e+00,5.746902299999999997e+01,2.845732299999999881e+00,2.180070499999999800e+00,1.701534000000000102e-01,4.114604000000000039e-01
2.900000000000000000e+01,4.186145399999999794e-01,9.469482599999999861e-01,1.263295199999999952e+00,5.233347100000000296e+01,4.544667099999999849e+00,3.501135899999999967e+00,2.093073000000000017e-01,4.734741000000000088e-01
3.100000000000000000e+01,4.944250600000000273e-01,1.052699400000000063e+00,1.349267200000000111e+00,4.782887499999999648e+01,6.562084200000000145e+00,5.095525000000000304e+00,2.472125000000000017e-01,5.263497000000000314e-01
