# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.997576999999999714e-01,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan
2.000000000000000000e+00,3.033119999999999913e-02,1.000080000000000080e+00,9.998342000000000063e-01,1.000076699999999930e+00,1.000076699999999930e+00,-1.208554000000000017e-01,8.690099999999999270e+00,-1.225135999999999933e-02
3.000000000000000000e+00,6.115870000000000334e-02,1.000313699999999972e+00,1.000071300000000107e+00,1.000311699999999915e+00,1.000311600000000078e+00,-8.701653999999999639e-03,1.050770999999999900e+00,6.901072000000000282e-03
4.000000000000000000e+00,9.169439999999999535e-02,1.000699299999999958e+00,1.000464599999999926e+00,1.000700700000000110e+00,1.000700399999999934e+00,1.764720999999999911e-03,3.061561999999999895e-01,4.039308999999999608e-03
5.000000000000000000e+00,1.226229999999999959e-01,1.001248799999999939e+00,1.001022499999999926e+00,1.001252999999999949e+00,1.001252199999999926e+00,2.313456000000000193e-03,1.250277999999999945e-01,1.537799000000000067e-03
6.000000000000000000e+00,1.533607999999999916e-01,1.001954299999999964e+00,1.001734799999999925e+00,1.001959999999999962e+00,1.001957999999999904e+00,1.565743000000000083e-03,6.243603999999999821e-02,1.001342999999999943e-04
7.000000000000000000e+00,1.848243999999999998e-01,1.002842000000000011e+00,1.002628700000000039e+00,1.002846700000000091e+00,1.002842599999999917e+00,7.364055000000000427e-04,3.452738000000000335e-02,-6.893799999999999624e-04
8.000000000000000000e+00,2.159262000000000126e-01,1.003884100000000057e+00,1.003674100000000013e+00,1.003885300000000091e+00,1.003877799999999931e+00,1.247091999999999884e-04,2.098451999999999956e-02,-1.005828000000000061e-03
9.000000000000000000e+00,2.480533000000000043e-01,1.005131800000000020e+00,1.004924799999999951e+00,1.005127499999999952e+00,1.005114499999999911e+00,-2.825117999999999943e-04,1.328342000000000064e-02,-1.121341000000000091e-03
1.000000000000000000e+01,2.802493999999999819e-01,1.006556999999999924e+00,1.006357200000000063e+00,1.006545000000000023e+00,1.006523700000000021e+00,-5.480704999999999561e-04,8.532398999999999539e-03,-1.187378000000000001e-03
1.100000000000000000e+01,3.127943000000000251e-01,1.008175800000000066e+00,1.007981000000000016e+00,1.008153400000000088e+00,1.008120399999999917e+00,-7.336263999999999459e-04,5.632123000000000164e-03,-1.263028000000000024e-03
