# X_IN,Y_IN,DY_over_DX,ANGLE,D2Y_over_DX2
-1.557999999999999923e-03,2.511240000000000139e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.744621499999999825e-01
1.000000000000000056e-01,2.546140000000000070e-01,6.916862769999999883e-02,3.956768349999999934e+00,7.004320010000000263e-01
2.000000000000000111e-01,2.651270000000000016e-01,1.443362129999999910e-01,8.213134690000000404e+00,9.041456639999999600e-01
2.999999999999999889e-01,2.844220000000000081e-01,2.400070290000000106e-01,1.349611409999999978e+01,8.879750619999999817e-01
4.000000000000000222e-01,3.124730000000000008e-01,3.160925379999999785e-01,1.754135670000000147e+01,6.028166310000000472e-01
5.000000000000000000e-01,3.466090000000000004e-01,3.619617390000000046e-01,1.989831780000000094e+01,3.243971880000000030e-01
5.999999999999999778e-01,3.841530000000000222e-01,3.861780940000000273e-01,2.111546859999999981e+01,1.579763550000000127e-01
6.999999999999999556e-01,4.232509999999999883e-01,3.926831800000000205e-01,2.143910109999999847e+01,-2.440663759999999946e-02
8.000000000000000444e-01,4.621810000000000085e-01,3.837401939999999789e-01,2.099381539999999902e+01,-1.544530809999999921e-01
9.000000000000000222e-01,4.997550000000000048e-01,3.677290939999999786e-01,2.018994349999999827e+01,-1.602055609999999963e-01
1.000000000000000000e+00,5.356999999999999540e-01,3.506801419999999725e-01,1.932475529999999964e+01,-1.870823249999999938e-01
1.100000000000000089e+00,5.697870000000000434e-01,3.309684319999999791e-01,1.831291350000000051e+01,-1.919108479999999950e-01
1.199999999999999956e+00,6.019670000000000298e-01,3.130543100000000023e-01,1.738295409999999919e+01,-1.681988859999999919e-01
1.300000000000000044e+00,6.324499999999999567e-01,2.967958780000000130e-01,1.653067160000000158e+01,-1.569697690000000090e-01
1.399999999999999911e+00,6.613670000000000382e-01,2.817867350000000104e-01,1.573713219999999957e+01,-1.422036610000000090e-01
1.500000000000000000e+00,6.888609999999999456e-01,2.683506310000000061e-01,1.502145780000000030e+01,-1.284586930000000127e-01
1.600000000000000089e+00,7.150609999999999467e-01,2.557134959999999846e-01,1.434392970000000034e+01,-1.242840030000000040e-01
1.699999999999999956e+00,7.400179999999999536e-01,2.435128649999999950e-01,1.368589139999999915e+01,-1.194889229999999969e-01
1.800000000000000044e+00,7.637810000000000432e-01,2.318232580000000043e-01,1.305194140000000047e+01,-1.143032070000000039e-01
1.899999999999999911e+00,7.863999999999999879e-01,2.206406419999999979e-01,1.244242530000000002e+01,-1.093608910000000017e-01
2.000000000000000000e+00,8.079250000000000043e-01,2.099461499999999980e-01,1.185682399999999959e+01,-1.048706499999999958e-01
2.100000000000000089e+00,8.284000000000000252e-01,1.996069480000000063e-01,1.128827680000000022e+01,-1.019133900000000065e-01
2.200000000000000178e+00,8.478569999999999718e-01,1.895729479999999911e-01,1.073434950000000043e+01,-9.852013810000000149e-02
2.299999999999999822e+00,8.663279999999999870e-01,1.799189459999999963e-01,1.019947540000000075e+01,-9.455989809999999773e-02
2.399999999999999911e+00,8.838529999999999998e-01,1.706471770000000110e-01,9.684080440000000678e+00,-9.106256640000000291e-02
2.500000000000000000e+00,9.004680000000000462e-01,1.617000879999999918e-01,9.185228130000000490e+00,-8.787920620000000405e-02
2.600000000000000089e+00,9.162040000000000184e-01,1.530678689999999953e-01,8.702595779999999337e+00,-8.479263239999999813e-02
2.700000000000000178e+00,9.310920000000000307e-01,1.447410179999999991e-01,8.235853679999999954e+00,-8.174438579999999954e-02
2.799999999999999822e+00,9.451619999999999466e-01,1.367142600000000041e-01,7.784887580000000362e+00,-7.881340940000000628e-02
2.899999999999999911e+00,9.584439999999999626e-01,1.289780660000000023e-01,7.349325200000000002e+00,-7.591046519999999909e-02
3.000000000000000000e+00,9.709670000000000245e-01,1.215134540000000068e-01,6.928241589999999839e+00,-7.343292379999999397e-02
3.100000000000000089e+00,9.827550000000000452e-01,1.142911320000000036e-01,6.520108139999999608e+00,-7.101351579999999608e-02
3.200000000000000178e+00,9.938329999999999664e-01,1.073093090000000055e-01,6.124932120000000424e+00,-6.862457299999999427e-02
3.299999999999999822e+00,1.004224999999999923e+00,1.005662090000000036e-01,5.742711520000000291e+00,-6.624072779999999605e-02
3.399999999999999911e+00,1.013954000000000022e+00,9.405307320000000360e-02,5.373038079999999717e+00,-6.402199009999999524e-02
3.500000000000000000e+00,1.023042999999999925e+00,8.776172159999999500e-02,5.015525870000000275e+00,-6.181916629999999885e-02
3.600000000000000089e+00,1.031512999999999902e+00,8.168366589999999372e-02,4.669761829999999669e+00,-5.974194790000000171e-02
3.700000000000000178e+00,1.039385999999999921e+00,7.581320769999999598e-02,4.335483260000000172e+00,-5.767527000000000070e-02
3.799999999999999822e+00,1.046683000000000030e+00,7.014730689999999769e-02,4.012571760000000154e+00,-5.564274739999999775e-02
3.899999999999999911e+00,1.053422999999999998e+00,6.468389369999999472e-02,3.700958249999999783e+00,-5.364829380000000342e-02
4.000000000000000000e+00,1.059625999999999957e+00,5.941595129999999864e-02,3.400285709999999906e+00,-5.171055470000000126e-02
4.099999999999999645e+00,1.065312000000000037e+00,5.434252800000000105e-02,3.110537990000000086e+00,-4.974879329999999655e-02
4.200000000000000178e+00,1.070500999999999925e+00,4.946647159999999904e-02,2.831911719999999910e+00,-4.777233539999999751e-02
4.299999999999999822e+00,1.075212000000000057e+00,4.478652959999999961e-02,2.564365480000000197e+00,-4.582984670000000288e-02
4.400000000000000355e+00,1.079464999999999897e+00,4.030090950000000255e-02,2.307823139999999995e+00,-4.385746150000000010e-02
4.500000000000000000e+00,1.083279000000000103e+00,3.601873700000000206e-02,2.062829849999999965e+00,-4.178598859999999721e-02
4.599999999999999645e+00,1.086675999999999975e+00,3.194432640000000045e-02,1.829652899999999915e+00,-3.969648509999999797e-02
4.700000000000000178e+00,1.089674999999999949e+00,2.808001359999999849e-02,1.608443609999999913e+00,-3.755275179999999907e-02
4.799999999999999822e+00,1.092298999999999909e+00,2.444156680000000165e-02,1.400119859999999994e+00,-3.521618499999999707e-02
4.900000000000000355e+00,1.094570999999999961e+00,2.104171670000000091e-02,1.205423679999999997e+00,-3.275400829999999819e-02
5.000000000000000000e+00,1.096516000000000046e+00,1.789247180000000034e-02,1.025053739999999936e+00,-3.020015179999999827e-02
5.099999999999999645e+00,1.098157999999999967e+00,1.500583869999999945e-02,8.597067019999999893e-01,-2.737213880000000099e-02
5.200000000000000178e+00,1.099528000000000061e+00,1.244486210000000058e-02,7.130012660000000224e-01,-2.385854609999999917e-02
5.299999999999999822e+00,1.100659000000000054e+00,1.022711159999999987e-02,5.859499049999999931e-01,-2.049646260000000109e-02
5.400000000000000355e+00,1.101585999999999954e+00,8.377126849999999569e-03,4.799627859999999746e-01,-1.649794809999999973e-02
5.500000000000000000e+00,1.102348000000000106e+00,6.940229170000000204e-03,3.976394560000000022e-01,-1.223249329999999933e-02
5.599999999999999645e+00,1.102988000000000079e+00,5.934866169999999767e-03,3.400387910000000069e-01,-7.803863369999999682e-03
5.700000000000000178e+00,1.103550999999999949e+00,5.407723960000000198e-03,3.098367399999999994e-01,-2.997655039999999951e-03
5.766187999999999647e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
5.900000000000000355e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.000000000000000000e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.099999999999999645e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.200000000000000178e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.299999999999999822e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.400000000000000355e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.500000000000000000e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.599999999999999645e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.700000000000000178e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.799999999999999822e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
6.900000000000000355e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.099999999999999645e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.200000000000000178e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.299999999999999822e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.400000000000000355e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.500000000000000000e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.599999999999999645e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.700000000000000178e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.799999999999999822e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
7.900000000000000355e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.099999999999999645e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.199999999999999289e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.300000000000000711e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.400000000000000355e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.500000000000000000e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.599999999999999645e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.699999999999999289e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.800000000000000711e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
8.900000000000000355e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.099999999999999645e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.199999999999999289e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.300000000000000711e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.400000000000000355e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.500000000000000000e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.599999999999999645e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.699999999999999289e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.800000000000000711e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
9.900000000000000355e+00,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.000000000000000000e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.009999999999999964e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.019999999999999929e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.030000000000000071e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.040000000000000036e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.050000000000000000e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.059999999999999964e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.069999999999999929e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.080000000000000071e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.090000000000000036e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.100000000000000000e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.109999999999999964e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.119999999999999929e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.130000000000000071e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.140000000000000036e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.150000000000000000e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.159999999999999964e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.169999999999999929e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.180000000000000071e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.190000000000000036e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.200000000000000000e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.209999999999999964e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
1.219999999999999929e+01,1.103903999999999996e+00,5.288014580000000020e-03,3.029780930000000039e-01,0.000000000000000000e+00
