# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.100000000000000000e+01,5.400000000000000000e+02,7.043999999999999773e+02,8.797000000000000455e+02,5.918999999999999773e+02,3.982661000000000000e+06,5.114000000000000000e+03,1.218599999999999905e+00,2.955439999999999845e+00,3.517160000000000064e+00,3.522299999999999986e+00,8.135999999999999899e-01,1.350200000000000067e+00,1.478159999999999918e+00,2.086500000000000021e-01,1.049999999999999935e-03,8.699999999999999400e-03,8.549999999999999658e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
1.200000000000000000e+01,5.400000000000000000e+02,7.008999999999999773e+02,8.792999999999999545e+02,5.907999999999999545e+02,3.982677000000000000e+06,5.105000000000000000e+03,1.214329999999999909e+00,2.956430000000000113e+00,3.507330000000000059e+00,3.513619999999999965e+00,8.222000000000000419e-01,1.350100000000000078e+00,1.445999999999999952e+00,2.354600000000000026e-01,1.051999999999999984e-03,8.699999999999999400e-03,8.649999999999999920e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
1.300000000000000000e+01,5.400000000000000000e+02,6.976000000000000227e+02,8.788999999999999773e+02,5.897999999999999545e+02,3.981973000000000000e+06,5.097000000000000000e+03,1.210129999999999928e+00,2.957320000000000171e+00,3.497580000000000133e+00,3.505139999999999922e+00,8.306999999999999940e-01,1.350000000000000089e+00,1.411680000000000046e+00,2.643199999999999994e-01,1.054000000000000032e-03,8.699999999999999400e-03,8.760000000000000425e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
1.400000000000000000e+01,5.400000000000000000e+02,6.940000000000000000e+02,8.786000000000000227e+02,5.887000000000000455e+02,3.980435000000000000e+06,5.087000000000000000e+03,1.205589999999999939e+00,2.958380000000000010e+00,3.487130000000000063e+00,3.496140000000000025e+00,8.398999999999999799e-01,1.349900000000000100e+00,1.400360000000000049e+00,2.684400000000000119e-01,1.056999999999999997e-03,8.800000000000000530e-03,8.869999999999999846e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
1.500000000000000000e+01,5.400000000000000000e+02,6.902000000000000455e+02,8.782000000000000455e+02,5.876000000000000227e+02,3.978012000000000000e+06,5.077000000000000000e+03,1.200879999999999947e+00,2.959550000000000125e+00,3.476339999999999986e+00,3.486959999999999837e+00,8.496000000000000218e-01,1.349800000000000111e+00,1.344570000000000043e+00,3.193099999999999827e-01,1.059000000000000045e-03,8.800000000000000530e-03,8.999999999999999754e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
1.600000000000000000e+01,5.400000000000000000e+02,6.865000000000000000e+02,8.777999999999999545e+02,5.865000000000000000e+02,3.974759000000000000e+06,5.067000000000000000e+03,1.196139999999999981e+00,2.960589999999999833e+00,3.465349999999999930e+00,3.477780000000000094e+00,8.594000000000000528e-01,1.349699999999999900e+00,1.329429999999999890e+00,3.266800000000000259e-01,1.062000000000000010e-03,8.800000000000000530e-03,9.129999999999999661e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
1.700000000000000000e+01,5.400000000000000000e+02,6.822000000000000455e+02,8.773999999999999773e+02,5.852000000000000455e+02,3.970139000000000000e+06,5.054000000000000000e+03,1.190800000000000081e+00,2.962050000000000072e+00,3.453260000000000218e+00,3.467740000000000045e+00,8.705000000000000515e-01,1.349599999999999911e+00,1.304410000000000069e+00,3.440300000000000025e-01,1.064999999999999974e-03,8.899999999999999925e-03,9.280000000000000054e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
1.800000000000000000e+01,5.400000000000000000e+02,6.780000000000000000e+02,8.768999999999999773e+02,5.838999999999999773e+02,3.964524000000000000e+06,5.041000000000000000e+03,1.185419999999999918e+00,2.963480000000000114e+00,3.441040000000000099e+00,3.457800000000000207e+00,8.818000000000000282e-01,1.349399999999999933e+00,1.262070000000000025e+00,3.796100000000000030e-01,1.069000000000000072e-03,8.899999999999999925e-03,9.430000000000000448e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
1.900000000000000000e+01,5.400000000000000000e+02,6.733999999999999773e+02,8.763999999999999773e+02,5.825000000000000000e+02,3.957282000000000000e+06,5.026000000000000000e+03,1.179529999999999967e+00,2.965139999999999887e+00,3.427729999999999944e+00,3.447049999999999947e+00,8.943999999999999728e-01,1.349299999999999944e+00,1.234660000000000091e+00,3.984400000000000164e-01,1.072999999999999952e-03,8.999999999999999320e-03,9.600000000000000243e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
2.000000000000000000e+01,5.400000000000000000e+02,6.685000000000000000e+02,8.758999999999999773e+02,5.810000000000000000e+02,3.948525000000000000e+06,5.010000000000000000e+03,1.173340000000000050e+00,2.966959999999999820e+00,3.413850000000000051e+00,3.436090000000000089e+00,9.076999999999999513e-01,1.349199999999999955e+00,1.192150000000000043e+00,4.331599999999999895e-01,1.077999999999999965e-03,9.100000000000000450e-03,9.779999999999999197e-04,5.727669999999999817e+00,9.076109999999999456e-01,1.078500000000000032e-03,1.081399999999999939e-03,1.078500000000000032e-03,1.081399999999999939e-03,9.799999999999999684e-04,1.640000000000000069e-01
