# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
5.000000000000000000e+00,2.599150100000000019e-01,1.667709300000000117e-01,1.049453699999999934e+00,7.234060399999999902e+01,4.796105199999999846e-01,2.196297299999999952e-01,6.497880000000000322e-02,4.169269999999999921e-02
6.000000000000000000e+00,2.956936900000000090e-01,2.738429399999999792e-01,1.064812700000000056e+00,6.990634799999999416e+01,7.126472600000000046e-01,4.526664699999999875e-01,7.392340000000000022e-02,6.846069999999999933e-02
7.000000000000000000e+00,3.436197100000000226e-01,3.992759499999999906e-01,1.087967499999999976e+00,6.680142299999999977e+01,1.110680799999999913e+00,8.507000099999999509e-01,8.590490000000000625e-02,9.981900000000000495e-02
8.000000000000000000e+00,3.950804500000000274e-01,5.172465499999999716e-01,1.115483699999999967e+00,6.369814099999999968e+01,1.642550799999999978e+00,1.382570000000000077e+00,9.877009999999999956e-02,1.293115999999999988e-01
9.000000000000000000e+00,4.476385999999999976e-01,6.249109699999999545e-01,1.146135799999999927e+00,6.075011299999999892e+01,2.294971900000000176e+00,2.034991199999999889e+00,1.119097000000000008e-01,1.562276999999999971e-01
1.000000000000000000e+01,4.999243299999999723e-01,7.225145899999999566e-01,1.179173100000000085e+00,5.800041199999999719e+01,3.054597199999999901e+00,2.794616399999999778e+00,1.249810999999999978e-01,1.806286000000000003e-01
1.100000000000000000e+01,5.509690900000000502e-01,8.108223799999999537e-01,1.214049200000000051e+00,5.545588399999999751e+01,3.907282299999999875e+00,3.647301500000000196e+00,1.377423000000000120e-01,2.027056000000000135e-01
1.200000000000000000e+01,6.000241200000000497e-01,8.905918900000000527e-01,1.250322399999999945e+00,5.311041099999999915e+01,4.838332600000000205e+00,4.578351900000000363e+00,1.500060000000000004e-01,2.226480000000000126e-01
1.300000000000000000e+01,6.464981499999999937e-01,9.624753499999999518e-01,1.287611300000000014e+00,5.095322099999999921e+01,5.832872199999999729e+00,5.572891399999999607e+00,1.616245000000000043e-01,2.406187999999999938e-01
1.400000000000000000e+01,6.899337199999999726e-01,1.027023999999999937e+00,1.325574299999999983e+00,4.897209999999999752e+01,6.876201799999999587e+00,6.616221000000000352e+00,1.724834000000000089e-01,2.567559999999999842e-01
1.500000000000000000e+01,7.299976099999999635e-01,1.084715700000000060e+00,1.363898499999999903e+00,4.715469499999999670e+01,7.954115599999999731e+00,7.694134799999999608e+00,1.824994000000000061e-01,2.711789000000000005e-01
