# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
1.000000000000000000e+00,0.000000000000000000e+00,1.000625600000000004e+00,1.063974799999999998e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.665624699999999903e-01
2.000000000000000000e+00,3.035021800000000172e-02,1.000705699999999920e+00,1.074670699999999979e+00,2.915768799999999827e-01,5.089020399999999791e-03,1.653353800000000040e-01
3.000000000000000000e+00,6.119691800000000292e-02,1.000939400000000035e+00,1.085824899999999982e+00,5.795655400000000457e-01,1.011567199999999916e-02,1.643657900000000116e-01
4.000000000000000000e+00,9.175174199999999725e-02,1.001325299999999974e+00,1.096709200000000051e+00,8.697124099999999913e-01,1.518051100000000070e-02,1.666818399999999978e-01
5.000000000000000000e+00,1.226997199999999982e-01,1.001875099999999907e+00,1.107954399999999895e+00,1.166827599999999965e+00,2.036779899999999893e-02,1.681021600000000005e-01
6.000000000000000000e+00,1.534567000000000014e-01,1.002581100000000003e+00,1.118976900000000052e+00,1.463764099999999901e+00,2.555306200000000139e-02,1.688069199999999992e-01
7.000000000000000000e+00,1.849400200000000105e-01,1.003469399999999956e+00,1.130730599999999919e+00,1.768429000000000029e+00,3.087471400000000102e-02,1.689213099999999912e-01
8.000000000000000000e+00,2.160612399999999877e-01,1.004512099999999908e+00,1.141887499999999944e+00,2.069103899999999996e+00,3.612838200000000055e-02,1.687204999999999955e-01
9.000000000000000000e+00,2.482084300000000077e-01,1.005760599999999894e+00,1.154197700000000104e+00,2.379225299999999876e+00,4.154920000000000141e-02,1.687231399999999937e-01
1.000000000000000000e+01,2.804247400000000057e-01,1.007186700000000101e+00,1.166249099999999927e+00,2.690235799999999955e+00,4.698800799999999778e-02,1.690870899999999954e-01
1.100000000000000000e+01,3.129899400000000220e-01,1.008806499999999939e+00,1.178423599999999904e+00,3.005446699999999804e+00,5.250310400000000183e-02,1.697471700000000028e-01
1.200000000000000000e+01,3.466234899999999786e-01,1.010668300000000075e+00,1.191591300000000020e+00,3.332336300000000140e+00,5.822590799999999983e-02,1.706095800000000107e-01
1.300000000000000000e+01,3.805907399999999829e-01,1.012744499999999936e+00,1.204467900000000036e+00,3.664032900000000037e+00,6.403675500000000076e-02,1.716166299999999922e-01
1.400000000000000000e+01,4.157156300000000027e-01,1.015099600000000102e+00,1.218358000000000052e+00,4.008993600000000157e+00,7.008454999999999546e-02,1.727102500000000096e-01
1.500000000000000000e+01,4.518722099999999964e-01,1.017746599999999946e+00,1.232728599999999952e+00,4.365999900000000267e+00,7.634890599999999417e-02,1.737028300000000025e-01
1.600000000000000000e+01,4.889033999999999880e-01,1.020693000000000072e+00,1.247122400000000075e+00,4.733194600000000030e+00,8.279826399999999642e-02,1.745179099999999983e-01
1.700000000000000000e+01,5.278234899999999508e-01,1.024047799999999953e+00,1.263309000000000015e+00,5.120322299999999771e+00,8.960514999999999453e-02,1.751304899999999998e-01
1.800000000000000000e+01,5.679943699999999707e-01,1.027788600000000052e+00,1.279513799999999923e+00,5.520496399999999859e+00,9.665010599999999952e-02,1.755378999999999967e-01
1.900000000000000000e+01,6.101302100000000062e-01,1.032016899999999904e+00,1.297239699999999996e+00,5.940463199999999944e+00,1.040537599999999951e-01,1.772991299999999992e-01
2.000000000000000000e+01,6.541955499999999590e-01,1.036772800000000050e+00,1.315771299999999977e+00,6.387087499999999807e+00,1.119397800000000026e-01,1.836906600000000056e-01
2.100000000000000000e+01,7.004518400000000478e-01,1.042145499999999947e+00,1.335635700000000092e+00,6.880400899999999709e+00,1.206662299999999993e-01,1.955678100000000086e-01
2.200000000000000000e+01,7.492361300000000002e-01,1.048264499999999932e+00,1.356927400000000006e+00,7.438606700000000238e+00,1.305625599999999942e-01,2.104653700000000127e-01
2.300000000000000000e+01,8.007441499999999879e-01,1.055268700000000059e+00,1.379983299999999913e+00,8.071683399999999509e+00,1.418168800000000063e-01,2.270959100000000119e-01
2.400000000000000000e+01,8.552019800000000282e-01,1.063327600000000039e+00,1.404512399999999994e+00,8.792780600000000391e+00,1.546791600000000100e-01,2.395639999999999992e-01
2.500000000000000000e+01,9.130092300000000050e-01,1.072680000000000078e+00,1.431836899999999968e+00,9.577579899999999924e+00,1.687348700000000090e-01,2.406036500000000022e-01
2.600000000000000000e+01,1.085578399999999943e+00,1.105378500000000042e+00,1.516953599999999902e+00,1.180187199999999947e+01,2.089449899999999971e-01,2.232307099999999989e-01
2.700000000000000000e+01,1.335712400000000022e+00,1.164699699999999893e+00,1.654511700000000030e+00,1.464060800000000029e+01,2.612374599999999769e-01,1.899268899999999871e-01
2.800000000000000000e+01,1.635054500000000077e+00,1.251525199999999893e+00,1.828329000000000093e+00,1.728808799999999835e+01,3.112372600000000156e-01,1.428334900000000074e-01
2.900000000000000000e+01,1.979337600000000030e+00,1.367066799999999915e+00,1.957938799999999979e+00,1.933241999999999905e+01,3.508303700000000025e-01,9.165724299999999936e-02
3.000000000000000000e+01,2.360286200000000001e+00,1.507134799999999997e+00,2.028977300000000206e+00,2.060159099999999910e+01,3.759069899999999964e-01,4.411753000000000202e-02
3.100000000000000000e+01,2.773494599999999810e+00,1.666149099999999939e+00,2.077423800000000043e+00,2.102709099999999864e+01,3.844066400000000217e-01,1.915061600000000008e-03
3.200000000000000000e+01,3.217903800000000203e+00,1.836781400000000009e+00,2.117557899999999993e+00,2.062339400000000111e+01,3.763413400000000242e-01,-2.788380999999999846e-02
3.300000000000000000e+01,3.693643499999999857e+00,2.011945299999999826e+00,2.155935299999999888e+00,1.970335199999999887e+01,3.581178400000000206e-01,-4.172267899999999863e-02
