# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
3.200000000000000000e+01,1.629637999999999920e+00,6.218449999999999811e-01,4.255889999999999673e-02,6.644035000000000357e-01,4.737424000000000079e-01,3.057239999999999958e-02,3.233239999999999725e-02,5.060746999999999884e-01,4.156648699999999863e+00,5.655881999999999854e-01,8.422000000000000666e-03,-2.022799999999999876e-01
3.300000000000000000e+01,2.283628000000000213e+00,9.315050000000000274e-01,7.055480000000000085e-02,1.002059800000000056e+00,4.600696000000000230e-01,-3.766409999999999897e-02,4.136390000000000206e-02,5.014334999999999765e-01,4.487718100000000376e+00,4.672865999999999964e-01,6.054900000000000213e-03,-1.895199999999999940e-01
3.400000000000000000e+01,3.127025000000000166e+00,1.304924999999999891e+00,1.038704000000000016e-01,1.408795599999999926e+00,4.100775999999999866e-01,-6.428509999999999780e-02,4.251150000000000068e-02,4.525891000000000219e-01,4.839469099999999635e+00,3.844954999999999901e-01,4.346899999999999896e-03,-1.581400000000000028e-01
3.500000000000000000e+01,4.195016999999999996e+00,1.698687999999999976e+00,1.533428000000000013e-01,1.852031200000000100e+00,3.346454999999999846e-01,-6.291689999999999783e-02,4.859519999999999812e-02,3.832406999999999897e-01,5.206060700000000097e+00,3.166213999999999973e-01,3.137200000000000145e-03,-1.383000000000000063e-01
3.600000000000000000e+01,5.520515999999999757e+00,2.086246000000000045e+00,2.214939999999999964e-01,2.307740400000000136e+00,2.639375999999999944e-01,-4.352269999999999750e-02,5.432059999999999667e-02,3.182581999999999911e-01,5.581930500000000350e+00,2.619122999999999868e-01,2.287599999999999877e-03,-1.218000000000000055e-01
3.700000000000000000e+01,7.133786999999999878e+00,2.456189000000000178e+00,3.148322000000000065e-01,2.771021300000000132e+00,2.130089000000000010e-01,-2.459650000000000031e-02,6.092319999999999680e-02,2.739321000000000117e-01,5.961943299999999724e+00,2.181837000000000082e-01,1.691299999999999965e-03,-1.081000000000000016e-01
3.800000000000000000e+01,9.055618000000000833e+00,2.828231999999999857e+00,4.389372999999999747e-01,3.267168799999999873e+00,1.817005999999999899e-01,-1.361399999999999937e-02,6.725119999999999709e-02,2.489518000000000009e-01,6.341487299999999827e+00,1.835542000000000007e-01,1.270800000000000098e-03,-9.600200000000000400e-02
3.900000000000000000e+01,1.129735299999999931e+01,3.204473000000000127e+00,5.966905000000000125e-01,3.801163799999999870e+00,1.581813999999999998e-01,-8.905299999999999674e-03,7.286779999999999646e-02,2.310492000000000101e-01,6.716524200000000278e+00,1.560652999999999901e-01,9.717900000000000453e-04,-8.531199999999999894e-02
4.000000000000000000e+01,1.386031200000000041e+01,3.581598000000000059e+00,7.907640000000000224e-01,4.372362200000000421e+00,1.400057000000000107e-01,-6.301799999999999763e-03,7.797439999999999927e-02,2.179801000000000100e-01,7.083599999999999675e+00,1.341524000000000050e-01,7.566800000000000262e-04,-7.596700000000000674e-02
4.100000000000000000e+01,1.673350699999999946e+01,3.960868000000000055e+00,1.022053199999999995e+00,4.982921700000000342e+00,1.244433000000000067e-01,-5.239299999999999687e-03,8.233379999999999865e-02,2.067770999999999915e-01,7.439828300000000283e+00,1.165975999999999957e-01,5.999700000000000172e-04,-6.780899999999999428e-02
4.200000000000000000e+01,1.989594900000000166e+01,4.328098999999999918e+00,1.288815700000000009e+00,5.616915099999999939e+00,1.084906999999999955e-01,-4.692700000000000170e-03,8.602260000000000462e-02,1.945134000000000030e-01,7.782853399999999588e+00,1.024362999999999940e-01,4.842900000000000134e-04,-6.088400000000000062e-02
4.300000000000000000e+01,2.331512999999999991e+01,4.670836000000000432e+00,1.589113599999999904e+00,6.259949399999999997e+00,9.374540000000000650e-02,-3.943000000000000324e-03,8.931500000000000550e-02,1.830604000000000120e-01,8.110802299999999576e+00,9.093900000000000594e-02,3.977100000000000123e-04,-5.511699999999999933e-02
4.400000000000000000e+01,2.695128700000000066e+01,4.986596999999999724e+00,1.919629199999999924e+00,6.906226300000000151e+00,8.083680000000000032e-02,-3.303299999999999900e-03,9.215940000000000243e-02,1.729961999999999889e-01,8.422230900000000631e+00,8.153449999999999587e-02,3.320600000000000157e-04,-5.030699999999999755e-02
4.500000000000000000e+01,3.075596200000000024e+01,5.270259000000000249e+00,2.275291699999999917e+00,7.545550800000000002e+00,6.925090000000000412e-02,-2.824699999999999867e-03,9.471169999999999589e-02,1.639625999999999861e-01,8.716068200000000488e+00,7.379259999999999986e-02,2.816399999999999937e-04,-4.632499999999999812e-02
4.600000000000000000e+01,3.467766300000000257e+01,5.520394999999999719e+00,2.651699999999999946e+00,8.172094799999999992e+00,5.906469999999999776e-02,-2.423900000000000100e-03,9.720779999999999699e-02,1.562724000000000057e-01,8.991563199999999867e+00,6.737490000000000145e-02,2.424500000000000114e-04,-4.305199999999999999e-02
4.700000000000000000e+01,3.865975000000000250e+01,5.736519999999999619e+00,3.043750600000000084e+00,8.780270200000000358e+00,5.011419999999999764e-02,-2.109900000000000057e-03,9.981550000000000145e-02,1.499296999999999991e-01,9.248235100000000486e+00,6.202409999999999868e-02,2.116700000000000114e-04,-4.038400000000000323e-02
4.800000000000000000e+01,4.264699199999999735e+01,5.919728000000000101e+00,3.447176799999999819e+00,9.366904899999999756e+00,4.225129999999999858e-02,-1.861000000000000024e-03,1.027543000000000067e-01,1.450056999999999874e-01,9.485828500000000219e+00,5.753579999999999806e-02,1.872499999999999978e-04,-3.823399999999999715e-02
4.900000000000000000e+01,4.658227300000000071e+01,6.071638000000000090e+00,3.857661699999999971e+00,9.929300100000000739e+00,3.535889999999999866e-02,-1.661900000000000009e-03,1.061335999999999946e-01,1.414924999999999933e-01,9.704275499999999610e+00,5.375139999999999779e-02,1.677000000000000105e-04,-3.652699999999999697e-02
5.000000000000000000e+01,5.041374499999999870e+01,6.195016999999999996e+00,4.271116100000000415e+00,1.046613269999999929e+01,2.932540000000000147e-02,-1.500900000000000107e-03,1.098941999999999974e-01,1.392194999999999960e-01,9.903662900000000491e+00,5.054369999999999696e-02,1.519600000000000020e-04,-3.519200000000000106e-02
5.100000000000000000e+01,5.409015999999999735e+01,6.292684000000000388e+00,4.682131799999999622e+00,1.097481540000000066e+01,2.406820000000000140e-02,-1.369999999999999907e-03,1.138059000000000015e-01,1.378740999999999994e-01,1.008420639999999935e+01,4.780960000000000071e-02,1.392099999999999902e-04,-3.415599999999999886e-02
5.200000000000000000e+01,5.756852599999999853e+01,6.368182000000000009e+00,5.084598299999999682e+00,1.145278030000000058e+01,1.950040000000000107e-02,-1.262099999999999941e-03,1.177137999999999934e-01,1.372142000000000084e-01,1.024623079999999931e+01,4.546580000000000066e-02,1.288299999999999981e-04,-3.335199999999999970e-02
5.300000000000000000e+01,6.080809399999999698e+01,6.424703000000000053e+00,5.471999099999999672e+00,1.189670190000000005e+01,1.556609999999999938e-02,-1.173400000000000007e-03,1.216319000000000011e-01,1.371979999999999866e-01,1.039015649999999980e+01,4.343810000000000032e-02,1.203900000000000044e-04,-3.271799999999999708e-02
5.400000000000000000e+01,6.377852000000000032e+01,6.465817999999999621e+00,5.838875299999999768e+00,1.230469320000000089e+01,1.219259999999999962e-02,-1.098199999999999914e-03,1.255410000000000137e-01,1.377336000000000116e-01,1.051649150000000077e+01,4.166559999999999708e-02,1.135100000000000025e-04,-3.220800000000000052e-02
5.500000000000000000e+01,6.645269100000000151e+01,6.494453000000000031e+00,6.179483900000000141e+00,1.267393739999999980e+01,9.345900000000000735e-03,-1.036100000000000085e-03,1.293034999999999879e-01,1.386494000000000060e-01,1.062582929999999948e+01,4.008230000000000126e-02,1.079399999999999999e-04,-3.176400000000000057e-02
5.600000000000000000e+01,6.881539100000000531e+01,6.513690999999999676e+00,6.489025800000000288e+00,1.300271700000000052e+01,6.957299999999999596e-03,-9.797000000000000153e-04,1.327655000000000085e-01,1.397227000000000052e-01,1.071885280000000051e+01,3.862970000000000292e-02,1.034499999999999938e-04,-3.133099999999999774e-02
5.700000000000000000e+01,7.085519899999999893e+01,6.525795999999999708e+00,6.762929899999999606e+00,1.328872579999999992e+01,5.014099999999999634e-03,-9.334999999999999765e-04,1.358112999999999959e-01,1.408252999999999866e-01,1.079634320000000081e+01,3.722160000000000052e-02,9.988499999999999658e-05,-3.083100000000000077e-02
5.800000000000000000e+01,7.257363800000000253e+01,6.533079999999999998e+00,6.998531100000000116e+00,1.353161120000000039e+01,3.437599999999999857e-03,-8.806999999999999941e-04,1.381374999999999964e-01,1.415751000000000093e-01,1.085919510000000088e+01,3.576519999999999699e-02,9.709899999999999987e-05,-3.018200000000000049e-02
5.900000000000000000e+01,7.397636199999999462e+01,6.536984999999999602e+00,7.193485800000000374e+00,1.373047039999999974e+01,2.244299999999999854e-03,-8.434000000000000091e-04,1.378070999999999879e-01,1.400513999999999926e-01,1.090843659999999993e+01,3.408409999999999912e-02,9.498000000000000203e-05,-2.922200000000000145e-02
6.000000000000000000e+01,7.508271000000000583e+01,6.538997000000000170e+00,7.344922300000000348e+00,1.388391939999999991e+01,1.317599999999999934e-03,-7.950000000000000252e-04,1.300691999999999959e-01,1.313867999999999980e-01,1.094525540000000063e+01,3.193200000000000205e-02,9.343299999999999804e-05,-2.770299999999999846e-02
6.100000000000000000e+01,7.591638500000000533e+01,6.539780999999999622e+00,7.449079300000000181e+00,1.398885989999999957e+01,6.817000000000000360e-04,-6.746999999999999742e-04,1.156182000000000043e-01,1.162998999999999977e-01,1.097102980000000017e+01,2.879670000000000146e-02,9.236700000000000520e-05,-2.514399999999999968e-02
6.200000000000000000e+01,7.651528999999999314e+01,6.540078000000000280e+00,7.514314099999999996e+00,1.405439190000000060e+01,3.155000000000000252e-04,-5.519999999999999733e-04,1.806352999999999986e-01,1.809507999999999950e-01,1.098736420000000003e+01,2.386769999999999864e-02,9.169900000000000414e-05,-2.100899999999999990e-02
6.300000000000000000e+01,7.692189600000000382e+01,6.540155999999999636e+00,7.607557800000000370e+00,1.414771389999999940e+01,1.074999999999999974e-04,-3.978000000000000199e-04,2.972836999999999841e-01,2.973912000000000222e-01,1.099612869999999987e+01,1.607810000000000142e-02,9.134299999999999603e-05,-1.424699999999999925e-02
6.400000000000000000e+01,7.719324299999999539e+01,6.540169999999999817e+00,7.700531400000000026e+00,1.424070129999999956e+01,2.010000000000000068e-05,-1.945999999999999867e-04,2.999784999999999813e-01,2.999986000000000042e-01,1.099949960000000004e+01,6.701600000000000265e-03,9.120699999999999598e-05,-5.965299999999999769e-03
6.500000000000000000e+01,7.739121199999999590e+01,6.540168999999999677e+00,7.753756400000000326e+00,1.429392589999999963e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.377315999999999874e-01,2.377315999999999874e-01,1.100000000000000000e+01,0.000000000000000000e+00,9.118700000000000633e-05,0.000000000000000000e+00
