# X_IN,Y_IN,DY_over_DX,ANGLE,D2Y_over_DX2
-7.811000000000000235e-03,7.564200000000000090e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.031063589999999919e-01
8.000000000000000167e-02,7.753799999999999581e-02,4.686988920000000058e-02,2.683482970000000023e+00,7.120454910000000304e-01
1.600000000000000033e-01,8.365699999999999525e-02,1.043459129999999985e-01,5.957022659999999803e+00,6.320651929999999696e-01
2.399999999999999911e-01,9.387500000000000011e-02,1.504077050000000026e-01,8.553609979999999169e+00,5.679214270000000342e-01
3.200000000000000067e-01,1.077380000000000004e-01,1.964607889999999968e-01,1.111481790000000025e+01,5.934738200000000408e-01
4.000000000000000222e-01,1.254220000000000057e-01,2.464726439999999907e-01,1.384587190000000057e+01,6.568225469999999788e-01
4.799999999999999822e-01,1.472670000000000090e-01,2.989657009999999726e-01,1.664486090000000118e+01,6.125445809999999769e-01
5.600000000000000533e-01,1.730210000000000081e-01,3.433382429999999874e-01,1.894930629999999994e+01,4.967689499999999869e-01
6.400000000000000133e-01,2.019549999999999956e-01,3.784487329999999816e-01,2.072908500000000132e+01,3.809933189999999970e-01
7.199999999999999734e-01,2.333260000000000056e-01,4.042971730000000097e-01,2.201334440000000114e+01,2.652176869999999798e-01
8.000000000000000444e-01,2.664199999999999902e-01,4.223757980000000245e-01,2.289801920000000024e+01,2.084366320000000106e-01
8.800000000000000044e-01,3.008529999999999816e-01,4.381514060000000210e-01,2.366069690000000136e+01,1.859535629999999884e-01
9.599999999999999645e-01,3.364770000000000261e-01,4.521283680000000027e-01,2.432907529999999952e+01,1.634704929999999945e-01
1.040000000000000036e+00,3.731459999999999777e-01,4.643066849999999968e-01,2.490575720000000004e+01,1.409874230000000006e-01
1.120000000000000107e+00,4.107180000000000275e-01,4.746863559999999760e-01,2.539305399999999935e+01,1.185043530000000067e-01
1.199999999999999956e+00,4.490549999999999820e-01,4.835630710000000110e-01,2.580669579999999996e+01,1.046161270000000032e-01
1.280000000000000027e+00,4.880610000000000226e-01,4.914327620000000230e-01,2.617101380000000077e+01,9.212614030000000620e-02
1.360000000000000098e+00,5.276570000000000427e-01,4.983032530000000015e-01,2.648722529999999864e+01,7.963615350000000093e-02
1.439999999999999947e+00,5.677630000000000177e-01,5.041745460000000012e-01,2.675607859999999860e+01,6.714616680000000393e-02
1.520000000000000018e+00,6.082980000000000054e-01,5.090466399999999947e-01,2.697821629999999971e+01,5.465617999999999865e-02
1.600000000000000089e+00,6.491839999999999833e-01,5.129195349999999820e-01,2.715417370000000119e+01,4.216619330000000165e-02
1.679999999999999938e+00,6.903390000000000359e-01,5.158119989999999655e-01,2.728522669999999906e+01,3.042150659999999854e-02
1.760000000000000009e+00,7.316899999999999515e-01,5.177934760000000303e-01,2.737482620000000111e+01,1.911542490000000052e-02
1.840000000000000080e+00,7.731620000000000159e-01,5.188704669999999464e-01,2.742346549999999894e+01,7.809343300000000376e-03
1.919999999999999929e+00,8.146849999999999925e-01,5.190429709999999641e-01,2.743125209999999825e+01,-3.496738340000000046e-03
2.000000000000000000e+00,8.561849999999999739e-01,5.183109879999999725e-01,2.739820359999999866e+01,-1.480281999999999952e-02
2.080000000000000071e+00,8.975899999999999990e-01,5.166745200000000260e-01,2.732424639999999982e+01,-2.610890160000000140e-02
