# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.800000000000000000e+01,5.400000000000000000e+02,8.797999999999999545e+02,1.159000000000000000e+03,6.422000000000000455e+02,1.127425000000000000e+06,2.033000000000000000e+03,1.356160000000000032e+00,3.556400000000000006e+00,4.872090000000000032e+00,4.872379999999999711e+00,4.812000000000000166e-01,1.381299999999999972e+00,1.650349999999999984e+00,2.509399999999999964e-01,1.324000000000000090e-03,9.599999999999999159e-03,6.369999999999999794e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
1.900000000000000000e+01,5.400000000000000000e+02,8.790000000000000000e+02,1.158900000000000091e+03,6.420000000000000000e+02,1.127917000000000000e+06,2.033000000000000000e+03,1.355410000000000004e+00,3.556309999999999860e+00,4.869150000000000311e+00,4.869439999999999991e+00,4.824999999999999845e-01,1.381199999999999983e+00,1.593220000000000081e+00,3.246200000000000196e-01,1.324000000000000090e-03,9.599999999999999159e-03,6.390000000000000280e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
2.000000000000000000e+01,5.400000000000000000e+02,8.782000000000000455e+02,1.158799999999999955e+03,6.417999999999999545e+02,1.128415000000000000e+06,2.034000000000000000e+03,1.354640000000000066e+00,3.556169999999999831e+00,4.866089999999999804e+00,4.866369999999999862e+00,4.838999999999999968e-01,1.381199999999999983e+00,1.538129999999999997e+00,3.953999999999999737e-01,1.325000000000000006e-03,9.599999999999999159e-03,6.409999999999999682e-04,5.246590000000000309e+00,4.836179999999999923e-01,1.326099999999999978e-03,1.330299999999999972e-03,1.326099999999999978e-03,1.330299999999999972e-03,6.400000000000000524e-04,1.899999999999999953e-02
2.100000000000000000e+01,5.400000000000000000e+02,8.772999999999999545e+02,1.158700000000000045e+03,6.415000000000000000e+02,1.128919000000000000e+06,2.034000000000000000e+03,1.353860000000000063e+00,3.555969999999999853e+00,4.862879999999999647e+00,4.863170000000000215e+00,4.852000000000000202e-01,1.381199999999999983e+00,1.485610000000000097e+00,4.626100000000000212e-01,1.325000000000000006e-03,9.599999999999999159e-03,6.430000000000000169e-04,5.565669999999999895e+00,4.520552999999999599e+00,2.775000000000000123e-03,2.814600000000000001e-03,2.775000000000000123e-03,2.814600000000000001e-03,1.263000000000000060e-02,7.489999999999999991e-01
2.200000000000000000e+01,5.400000000000000000e+02,8.763999999999999773e+02,1.158599999999999909e+03,6.412999999999999545e+02,1.129431000000000000e+06,2.035000000000000000e+03,1.353050000000000086e+00,3.555709999999999926e+00,4.859530000000000349e+00,4.859829999999999650e+00,4.865999999999999770e-01,1.381099999999999994e+00,1.435990000000000100e+00,5.258000000000000451e-01,1.325999999999999922e-03,9.599999999999999159e-03,6.449999999999999570e-04,5.565669999999999895e+00,4.520552999999999599e+00,2.775000000000000123e-03,2.814600000000000001e-03,2.775000000000000123e-03,2.814600000000000001e-03,1.263000000000000060e-02,7.489999999999999991e-01
2.300000000000000000e+01,5.400000000000000000e+02,8.756000000000000227e+02,1.158500000000000000e+03,6.410000000000000000e+02,1.129949000000000000e+06,2.036000000000000000e+03,1.352230000000000043e+00,3.555390000000000050e+00,4.856029999999999625e+00,4.856349999999999945e+00,4.880999999999999783e-01,1.381099999999999994e+00,1.389489999999999892e+00,5.846799999999999775e-01,1.327000000000000055e-03,9.599999999999999159e-03,6.480000000000000300e-04,5.565669999999999895e+00,4.520552999999999599e+00,2.775000000000000123e-03,2.814600000000000001e-03,2.775000000000000123e-03,2.814600000000000001e-03,1.263000000000000060e-02,7.489999999999999991e-01
2.400000000000000000e+01,5.400000000000000000e+02,8.746000000000000227e+02,1.158400000000000091e+03,6.407999999999999545e+02,1.130475000000000000e+06,2.037000000000000000e+03,1.351380000000000026e+00,3.555009999999999781e+00,4.852360000000000007e+00,4.852710000000000079e+00,4.895999999999999797e-01,1.381099999999999994e+00,1.346109999999999918e+00,6.392400000000000304e-01,1.327999999999999970e-03,9.599999999999999159e-03,6.499999999999999702e-04,5.565669999999999895e+00,4.520552999999999599e+00,2.775000000000000123e-03,2.814600000000000001e-03,2.775000000000000123e-03,2.814600000000000001e-03,1.263000000000000060e-02,7.489999999999999991e-01
2.500000000000000000e+01,5.400000000000000000e+02,8.737000000000000455e+02,1.158200000000000045e+03,6.405000000000000000e+02,1.131009000000000000e+06,2.038000000000000000e+03,1.350519999999999943e+00,3.554580000000000073e+00,4.848539999999999850e+00,4.848939999999999806e+00,4.910999999999999810e-01,1.381000000000000005e+00,1.331939999999999902e+00,6.548599999999999977e-01,1.329000000000000103e-03,9.599999999999999159e-03,6.520000000000000188e-04,5.565669999999999895e+00,4.520552999999999599e+00,2.775000000000000123e-03,2.814600000000000001e-03,2.775000000000000123e-03,2.814600000000000001e-03,1.263000000000000060e-02,7.489999999999999991e-01
2.600000000000000000e+01,5.400000000000000000e+02,8.127000000000000455e+02,1.150400000000000091e+03,6.235000000000000000e+02,1.154831000000000000e+06,1.647000000000000000e+03,1.292829999999999924e+00,3.721359999999999779e+00,4.850900000000000212e+00,4.858950000000000102e+00,6.027000000000000135e-01,1.385000000000000009e+00,1.371350000000000069e+00,9.219500000000000473e-01,1.098999999999999934e-03,8.099999999999999561e-03,6.629999999999999609e-04,5.565669999999999895e+00,4.520552999999999599e+00,2.775000000000000123e-03,2.814600000000000001e-03,2.775000000000000123e-03,2.814600000000000001e-03,1.263000000000000060e-02,7.489999999999999991e-01
2.700000000000000000e+01,5.400000000000000000e+02,7.315000000000000000e+02,1.140000000000000000e+03,6.000000000000000000e+02,1.156852000000000000e+06,2.068000000000000000e+03,1.212199999999999944e+00,3.543369999999999909e+00,4.320330000000000226e+00,4.348419999999999952e+00,7.684999999999999609e-01,1.375899999999999901e+00,9.326699999999999990e-01,8.053700000000000303e-01,1.467999999999999904e-03,1.140000000000000041e-02,1.128000000000000096e-03,5.565669999999999895e+00,4.520552999999999599e+00,2.775000000000000123e-03,2.814600000000000001e-03,2.775000000000000123e-03,2.814600000000000001e-03,1.263000000000000060e-02,7.489999999999999991e-01
