# POINT,X,X_IN,Mach,DM_over_DX,D2M_over_DX2,D3M_over_DX3,W_Q_over_Astar,DW_over_DX,D2W_over_DX2,D3W_over_DX3
1.000000000000000000e+00,7.662993000000000166e+01,5.747239999999999682e+00,1.100000000000000000e+01,-2.089809999999999883e-16,-7.284667999999999670e-18,4.038514000000000210e-04,1.975300000000000056e+00,-9.074757000000000623e-19,-3.163281999999999810e-20,1.753678000000000068e-06
2.000000000000000000e+00,7.415303000000000111e+01,5.561480000000000423e+00,1.099899899999999953e+01,1.203064999999999907e-03,-9.569952000000000493e-04,3.688858999999999845e-04,1.975295999999999941e+00,5.225561999999999792e-06,-4.158420000000000413e-06,1.606264000000000042e-06
3.000000000000000000e+00,7.169512000000000285e+01,5.377130000000000187e+00,1.099225999999999992e+01,4.634624999999999856e-03,-1.821043000000000054e-03,3.341883000000000136e-04,1.975265999999999966e+00,2.016683000000000017e-05,-7.948868999999999602e-06,1.483547999999999912e-06
4.000000000000000000e+00,6.925652999999999793e+01,5.194239999999999746e+00,1.097475700000000032e+01,1.003492999999999920e-02,-2.594016000000000204e-03,2.997634999999999905e-04,1.975190000000000001e+00,4.386957000000000221e-05,-1.145763999999999962e-05,1.401942999999999996e-06
5.000000000000000000e+00,6.683763999999999328e+01,5.012819999999999609e+00,1.094220699999999979e+01,1.715324000000000015e-02,-3.277813000000000081e-03,2.656167999999999875e-04,1.975046999999999997e+00,7.564332000000000271e-05,-1.480172999999999965e-05,1.372395000000000054e-06
6.000000000000000000e+00,6.443882999999999583e+01,4.832910000000000039e+00,1.089103800000000000e+01,2.574784999999999921e-02,-3.874362000000000118e-03,2.317534999999999962e-04,1.974820000000000020e+00,1.151124999999999994e-04,-1.811765000000000093e-05,1.402875999999999916e-06
7.000000000000000000e+00,6.206049000000000149e+01,4.654539999999999900e+00,1.081834199999999946e+01,3.558619999999999839e-02,-4.385624999999999767e-03,1.981792000000000015e-04,1.974491999999999914e+00,1.622453999999999899e-04,-2.155613000000000058e-05,1.500606000000000037e-06
8.000000000000000000e+00,5.970304000000000144e+01,4.477730000000000210e+00,1.072184799999999960e+01,4.644493000000000232e-02,-4.813594000000000032e-03,1.648999999999999967e-04,1.974045999999999967e+00,2.173742000000000100e-04,-2.528192000000000069e-05,1.673949000000000056e-06
9.000000000000000000e+00,5.736693999999999960e+01,4.302520000000000344e+00,1.059988000000000063e+01,5.810996000000000217e-02,-5.160297999999999795e-03,1.319218999999999947e-04,1.973465000000000025e+00,2.812180999999999969e-04,-2.947761999999999849e-05,1.934110000000000105e-06
1.000000000000000000e+01,5.505263000000000062e+01,4.128949999999999676e+00,1.045132100000000008e+01,7.037659000000000276e-02,-5.427801000000000327e-03,9.925157000000000152e-05,1.972731999999999930e+00,3.549159999999999880e-04,-3.435110999999999780e-05,2.296794999999999835e-06
1.100000000000000000e+01,5.276062000000000296e+01,3.957050000000000178e+00,1.027557700000000018e+01,8.304954999999999976e-02,-5.618207000000000062e-03,6.689595000000000112e-05,1.971823000000000103e+00,4.400777000000000031e-04,-4.014652000000000064e-05,2.784066000000000070e-06
1.200000000000000000e+01,5.049141999999999797e+01,3.786859999999999893e+00,1.007254099999999930e+01,9.594315000000000482e-02,-5.733661999999999613e-03,3.486232000000000133e-05,1.970714999999999995e+00,5.388593000000000332e-04,-4.715902000000000169e-05,3.426599999999999939e-06
