# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
1.000000000000000000e+00,0.000000000000000000e+00,1.000018000000000074e+00,1.011043300000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.499954999999999886e-02
2.000000000000000000e+00,1.478466399999999945e-02,1.000027199999999894e+00,1.013737200000000005e+00,7.185202799999999834e-02,1.254055100000000048e-03,8.517944500000000640e-02
3.000000000000000000e+00,2.907546100000000036e-02,1.000053800000000104e+00,1.016315599999999986e+00,1.418803200000000042e-01,2.476283799999999969e-03,8.573592100000000660e-02
4.000000000000000000e+00,4.290013000000000160e-02,1.000096300000000049e+00,1.018785300000000005e+00,2.099518599999999902e-01,3.664367600000000176e-03,8.601408500000000401e-02
5.000000000000000000e+00,5.629197400000000157e-02,1.000153099999999906e+00,1.021153900000000059e+00,2.760044500000000123e-01,4.817223600000000022e-03,8.586399599999999799e-02
6.000000000000000000e+00,6.929067299999999707e-02,1.000223000000000084e+00,1.023429200000000039e+00,3.397907800000000145e-01,5.930537399999999751e-03,8.479200800000000204e-02
7.000000000000000000e+00,8.194310000000000482e-02,1.000304800000000105e+00,1.025619599999999965e+00,4.006524899999999723e-01,6.992819100000000412e-03,8.266816000000000442e-02
8.000000000000000000e+00,9.430404200000000459e-02,1.000397600000000109e+00,1.027734200000000042e+00,4.583043399999999767e-01,7.999090299999999168e-03,7.936868299999999543e-02
9.000000000000000000e+00,1.064367799999999947e-01,1.000500500000000015e+00,1.029782500000000045e+00,5.120829700000000262e-01,8.937771900000000477e-03,7.422622800000000520e-02
1.000000000000000000e+01,1.184133700000000039e-01,1.000612899999999916e+00,1.031774500000000039e+00,5.608854100000000287e-01,9.789609799999999737e-03,6.746045900000000040e-02
1.100000000000000000e+01,1.303146199999999921e-01,1.000734199999999907e+00,1.033720900000000054e+00,6.043983699999999626e-01,1.054913300000000047e-02,5.962747000000000186e-02
1.200000000000000000e+01,1.422294600000000020e-01,1.000864200000000093e+00,1.035632499999999956e+00,6.422352300000000458e-01,1.120958900000000071e-02,5.077799300000000043e-02
