# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,RE_over_FT,DELTA,N,H,THETA,DELTAstar,X
1.000000000000000000e+00,5.400000000000000000e+02,8.948999999999999773e+02,1.160900000000000091e+03,6.463999999999999773e+02,1.117512000000000000e+06,2.035000000000000000e+03,1.370049999999999990e+00,3.555639999999999912e+00,4.922930000000000028e+00,4.922930000000000028e+00,4.571000000000000063e-01,1.381699999999999928e+00,1.859550000000000036e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.499999999999999764e-03,6.049999999999999606e-04,2.234949000000000000e+06,6.925496800000000341e+00,7.604159899999999972e+00,7.833058200000000681e+01,6.522519999999999707e-02,5.109125800000000162e+00,1.915709999999999980e+02
2.000000000000000000e+00,5.400000000000000000e+02,8.937000000000000455e+02,1.160799999999999955e+03,6.460000000000000000e+02,1.118363000000000000e+06,2.034000000000000000e+03,1.368940000000000046e+00,3.555969999999999853e+00,4.919229999999999769e+00,4.919229999999999769e+00,4.590000000000000191e-01,1.381599999999999939e+00,2.543200000000000127e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.070000000000000092e-04,2.234949000000000000e+06,6.925496800000000341e+00,7.604159899999999972e+00,7.833058200000000681e+01,6.522519999999999707e-02,5.109125800000000162e+00,1.915709999999999980e+02
3.000000000000000000e+00,5.400000000000000000e+02,8.925000000000000000e+02,1.160599999999999909e+03,6.457000000000000455e+02,1.119168000000000000e+06,2.034000000000000000e+03,1.367879999999999985e+00,3.555890000000000217e+00,4.915149999999999686e+00,4.915169999999999817e+00,4.608999999999999764e-01,1.381599999999999939e+00,2.503740000000000077e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.099999999999999737e-04,2.234949000000000000e+06,6.925496800000000341e+00,7.604159899999999972e+00,7.833058200000000681e+01,6.522519999999999707e-02,5.109125800000000162e+00,1.915709999999999980e+02
4.000000000000000000e+00,5.400000000000000000e+02,8.913999999999999773e+02,1.160500000000000000e+03,6.453999999999999773e+02,1.119931000000000000e+06,2.034000000000000000e+03,1.366859999999999964e+00,3.555950000000000166e+00,4.911430000000000184e+00,4.911459999999999937e+00,4.626000000000000112e-01,1.381599999999999939e+00,2.465349999999999930e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.120000000000000223e-04,2.234949000000000000e+06,6.925496800000000341e+00,7.604159899999999972e+00,7.833058200000000681e+01,6.522519999999999707e-02,5.109125800000000162e+00,1.915709999999999980e+02
5.000000000000000000e+00,5.400000000000000000e+02,8.903999999999999773e+02,1.160400000000000091e+03,6.451000000000000227e+02,1.120654000000000000e+06,2.034000000000000000e+03,1.365879999999999983e+00,3.555979999999999919e+00,4.907820000000000071e+00,4.907879999999999576e+00,4.642999999999999905e-01,1.381499999999999950e+00,2.427519999999999900e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.139999999999999625e-04,2.234949000000000000e+06,6.925496800000000341e+00,7.604159899999999972e+00,7.833058200000000681e+01,6.522519999999999707e-02,5.109125800000000162e+00,1.915709999999999980e+02
6.000000000000000000e+00,5.400000000000000000e+02,8.892999999999999545e+02,1.160200000000000045e+03,6.447999999999999545e+02,1.121343000000000000e+06,2.034000000000000000e+03,1.364940000000000042e+00,3.556020000000000181e+00,4.904370000000000118e+00,4.904449999999999754e+00,4.658999999999999808e-01,1.381499999999999950e+00,2.389609999999999790e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.170000000000000354e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,5.400000000000000000e+02,8.883999999999999773e+02,1.160099999999999909e+03,6.446000000000000227e+02,1.121999000000000000e+06,2.034000000000000000e+03,1.364039999999999919e+00,3.556070000000000064e+00,4.901049999999999685e+00,4.901159999999999961e+00,4.675000000000000266e-01,1.381499999999999950e+00,2.350940000000000030e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.189999999999999756e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,5.400000000000000000e+02,8.873999999999999773e+02,1.160000000000000000e+03,6.442999999999999545e+02,1.122626000000000000e+06,2.034000000000000000e+03,1.363159999999999927e+00,3.556109999999999882e+00,4.897840000000000416e+00,4.897999999999999687e+00,4.689999999999999725e-01,1.381499999999999950e+00,2.310729999999999951e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.499999999999999764e-03,6.210000000000000242e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,5.400000000000000000e+02,8.865000000000000000e+02,1.159900000000000091e+03,6.441000000000000227e+02,1.123227000000000000e+06,2.034000000000000000e+03,1.362319999999999975e+00,3.556160000000000210e+00,4.894750000000000156e+00,4.894940000000000069e+00,4.704999999999999738e-01,1.381399999999999961e+00,2.268229999999999968e+00,0.000000000000000000e+00,1.322999999999999957e-03,9.599999999999999159e-03,6.229999999999999644e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,5.400000000000000000e+02,8.856000000000000227e+02,1.159799999999999955e+03,6.437999999999999545e+02,1.123807000000000000e+06,2.033000000000000000e+03,1.361490000000000089e+00,3.556220000000000159e+00,4.891740000000000421e+00,4.891980000000000217e+00,4.718999999999999861e-01,1.381399999999999961e+00,2.222739999999999938e+00,0.000000000000000000e+00,1.324000000000000090e-03,9.599999999999999159e-03,6.250000000000000130e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
