# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,4.681342199999999565e+00,0.000000000000000000e+00,1.694833100000000092e+00,3.615903699999999787e+01,1.491518199999999972e+01,0.000000000000000000e+00,3.511006999999999878e-01,0.000000000000000000e+00
2.000000000000000000e+00,5.362455500000000264e+00,4.985593500000000122e-01,1.826660900000000032e+00,3.319204100000000324e+01,1.797059799999999896e+01,3.055416500000000202e+00,4.021841999999999917e-01,3.739200000000000162e-02
3.000000000000000000e+00,5.914226499999999831e+00,9.065710300000000554e-01,1.966238500000000000e+00,3.056964299999999923e+01,2.105944699999999870e+01,6.144265200000000426e+00,4.435669999999999891e-01,6.799280000000000601e-02
4.000000000000000000e+00,6.326893899999999960e+00,1.218387099999999945e+00,2.108224100000000156e+00,2.831592300000000151e+01,2.403214399999999884e+01,9.116962499999999636e+00,4.745170000000000221e-01,9.137900000000000189e-02
5.000000000000000000e+00,6.601968000000000281e+00,1.432239800000000063e+00,2.248356699999999986e+00,2.640857899999999958e+01,2.679435799999999901e+01,1.187917599999999929e+01,4.951476000000000210e-01,1.074179999999999996e-01
6.000000000000000000e+00,6.750387899999999775e+00,1.551323599999999914e+00,2.383460499999999982e+00,2.480668800000000118e+01,2.929828699999999841e+01,1.438310500000000047e+01,5.062790999999999819e-01,1.163493000000000027e-01
7.000000000000000000e+00,6.789345199999999636e+00,1.583595000000000086e+00,2.511364400000000163e+00,2.346507000000000076e+01,3.152990099999999885e+01,1.661471900000000090e+01,5.092008999999999563e-01,1.187696000000000029e-01
8.000000000000000000e+00,6.738958700000000412e+00,1.540555099999999955e+00,2.630753499999999967e+00,2.234106799999999993e+01,3.349667999999999779e+01,1.858149900000000088e+01,5.054218999999999795e-01,1.155415999999999943e-01
9.000000000000000000e+00,6.619573700000000116e+00,1.435622500000000024e+00,2.740988100000000038e+00,2.139724000000000004e+01,3.521800700000000006e+01,2.030282499999999857e+01,4.964680000000000204e-01,1.076716999999999952e-01
1.000000000000000000e+01,6.449966500000000380e+00,1.282614200000000038e+00,2.841926299999999905e+00,2.060198099999999855e+01,3.671855599999999953e+01,2.180337400000000159e+01,4.837474999999999969e-01,9.619610000000000660e-02
1.100000000000000000e+01,6.246393699999999605e+00,1.094608699999999990e+00,2.933768600000000060e+00,1.992918799999999990e+01,3.802420800000000156e+01,2.310902600000000007e+01,4.684794999999999932e-01,8.209560000000000468e-02
1.200000000000000000e+01,6.022274200000000022e+00,8.832504199999999805e-01,3.016933700000000051e+00,1.935755999999999943e+01,3.915976200000000063e+01,2.424457999999999913e+01,4.516705999999999777e-01,6.624380000000000546e-02
1.300000000000000000e+01,5.788274099999999756e+00,6.584338100000000082e-01,3.091965800000000097e+00,1.886980900000000005e+01,4.014781800000000089e+01,2.523263599999999940e+01,4.341206000000000231e-01,4.938250000000000278e-02
1.400000000000000000e+01,5.552607599999999977e+00,4.282587199999999816e-01,3.159467999999999943e+00,1.845193400000000139e+01,4.100836600000000232e+01,2.609318400000000082e+01,4.164456000000000269e-01,3.211939999999999934e-02
1.500000000000000000e+01,5.321424399999999721e+00,1.991537999999999919e-01,3.220057399999999959e+00,1.809258799999999923e+01,4.175875599999999821e+01,2.684357400000000027e+01,3.991067999999999838e-01,1.493650000000000012e-02
1.600000000000000000e+01,5.099204699999999590e+00,-2.391476500000000102e-02,3.274335900000000077e+00,1.778255800000000164e+01,4.241387900000000144e+01,2.749869800000000097e+01,3.824404000000000137e-01,-1.793600000000000012e-03
1.700000000000000000e+01,4.889120400000000366e+00,-2.372047899999999987e-01,3.322873099999999802e+00,1.751433400000000162e+01,4.298642499999999700e+01,2.807124400000000009e+01,3.666840000000000099e-01,-1.779040000000000135e-02
1.800000000000000000e+01,4.693344399999999972e+00,-4.379640799999999778e-01,3.366196700000000153e+00,1.728177600000000069e+01,4.348716499999999741e+01,2.857198400000000049e+01,3.520008000000000026e-01,-3.284730000000000288e-02
1.900000000000000000e+01,4.513304500000000274e+00,-6.242190699999999870e-01,3.404788299999999879e+00,1.707984099999999827e+01,4.392522400000000005e+01,2.901004299999999958e+01,3.384978000000000153e-01,-4.681640000000000107e-02
2.000000000000000000e+01,4.349886299999999650e+00,-7.945936500000000402e-01,3.439083199999999785e+00,1.690437000000000012e+01,4.430833100000000258e+01,2.939314999999999856e+01,3.262415000000000176e-01,-5.959450000000000164e-02
2.100000000000000000e+01,4.203590000000000160e+00,-9.481597400000000286e-01,3.469471899999999831e+00,1.675191699999999884e+01,4.464303600000000216e+01,2.972785400000000067e+01,3.152692999999999746e-01,-7.111199999999999466e-02
2.200000000000000000e+01,4.074649899999999825e+00,-1.084317900000000057e+00,3.496303099999999997e+00,1.661961300000000108e+01,4.493489699999999942e+01,3.001971599999999896e+01,3.055987000000000009e-01,-8.132380000000000164e-02
2.300000000000000000e+01,3.963123099999999788e+00,-1.202704599999999902e+00,3.519887300000000163e+00,1.650505899999999926e+01,4.518864800000000059e+01,3.027346599999999910e+01,2.972342000000000040e-01,-9.020279999999999965e-02
2.400000000000000000e+01,3.868952800000000192e+00,-1.303122899999999973e+00,3.540501100000000179e+00,1.640623799999999832e+01,4.540832900000000194e+01,3.049314800000000147e+01,2.901715000000000266e-01,-9.773419999999999330e-02
2.500000000000000000e+01,3.792011399999999810e+00,-1.385492699999999910e+00,3.558391499999999930e+00,1.632143999999999906e+01,4.559741000000000355e+01,3.068222799999999850e+01,2.844009000000000120e-01,-1.039120000000000044e-01
2.600000000000000000e+01,3.732126899999999914e+00,-1.449819699999999933e+00,3.573780199999999851e+00,1.624920900000000046e+01,4.575888900000000348e+01,3.084370699999999843e+01,2.799094999999999778e-01,-1.087364999999999998e-01
2.700000000000000000e+01,3.689093600000000084e+00,-1.496178800000000031e+00,3.586867699999999992e+00,1.618828699999999898e+01,4.589538499999999743e+01,3.098020299999999949e+01,2.766819999999999835e-01,-1.122134000000000048e-01
2.800000000000000000e+01,3.662670199999999987e+00,-1.524713599999999891e+00,3.597838600000000220e+00,1.613757299999999972e+01,4.600921600000000211e+01,3.109403500000000165e+01,2.747003000000000084e-01,-1.143534999999999968e-01
2.900000000000000000e+01,3.652563199999999899e+00,-1.535650100000000018e+00,3.606865500000000058e+00,1.609608700000000070e+01,4.610247600000000290e+01,3.118729499999999888e+01,2.739422000000000246e-01,-1.151738000000000067e-01
3.000000000000000000e+01,3.658397499999999969e+00,-1.529326699999999928e+00,3.614113899999999990e+00,1.606293099999999896e+01,4.617710399999999993e+01,3.126192199999999843e+01,2.743798000000000070e-01,-1.146994999999999959e-01
3.100000000000000000e+01,3.679670199999999891e+00,-1.506240599999999930e+00,3.619748099999999802e+00,1.603725400000000079e+01,4.623495100000000235e+01,3.131976999999999833e+01,2.759752999999999790e-01,-1.129679999999999990e-01
3.200000000000000000e+01,3.715688399999999891e+00,-1.467113600000000018e+00,3.623936000000000046e+00,1.601822299999999899e+01,4.627785899999999941e+01,3.136267700000000147e+01,2.786765999999999965e-01,-1.100335000000000063e-01
3.300000000000000000e+01,3.765486399999999900e+00,-1.412979200000000102e+00,3.626855299999999893e+00,1.600498299999999929e+01,4.630772499999999781e+01,3.139254299999999986e+01,2.824114999999999820e-01,-1.059733999999999954e-01
3.400000000000000000e+01,3.827722300000000022e+00,-1.345291599999999921e+00,3.628700499999999884e+00,1.599662599999999912e+01,4.632658200000000193e+01,3.141140000000000043e+01,2.870791999999999788e-01,-1.008968999999999977e-01
3.500000000000000000e+01,3.900552799999999820e+00,-1.266058899999999987e+00,3.629689099999999780e+00,1.599215200000000081e+01,4.633668000000000120e+01,3.142149799999999971e+01,2.925415000000000099e-01,-9.495439999999999436e-02
3.600000000000000000e+01,3.981489100000000114e+00,-1.177995899999999985e+00,3.630069199999999885e+00,1.599043299999999945e+01,4.634056000000000353e+01,3.142537899999999951e+01,2.986116999999999799e-01,-8.834970000000000323e-02
3.700000000000000000e+01,4.067239200000000388e+00,-1.084691199999999967e+00,3.630125599999999952e+00,1.599017800000000022e+01,4.634113599999999877e+01,3.142595499999999831e+01,3.050429000000000057e-01,-8.135180000000000189e-02
3.800000000000000000e+01,6.482437799999999584e+00,1.543302200000000068e+00,3.630125599999999952e+00,1.599017800000000022e+01,4.634113599999999877e+01,3.142595499999999831e+01,4.861828000000000261e-01,1.157476999999999950e-01
3.900000000000000000e+01,8.897636300000000276e+00,4.171295599999999659e+00,3.630125599999999952e+00,1.599017800000000022e+01,4.634113599999999877e+01,3.142595499999999831e+01,6.673227000000000464e-01,3.128471999999999920e-01
4.000000000000000000e+01,1.131283499999999975e+01,6.799288999999999916e+00,3.630125599999999952e+00,1.599017800000000022e+01,4.634113599999999877e+01,3.142595499999999831e+01,8.484625999999999557e-01,5.099466999999999750e-01
